YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2025 Regular Session,HB0466,Health Equality for Service Members Act,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; and altering the application of certain provisions of law governing public health, the regulation of health occupations, and housing vouchers and assistance to apply to all uniformed services, rather than only the armed forces.","The bill establishes rules of interpretation for uniformed services, expands legal protections and benefits to all uniformed service members and veterans, and creates a program to support behavioral health services for service members and veterans in Maryland.",True,2025,2025,0.0,Maryland Department of Veterans and Military Families,"Service members, veterans, their families, and behavioral health providers in Maryland","The bill primarily focuses on health, legal protections, and program support for service members and veterans, with no direct focus on small business capital access.",1.0
2025 Regular Session,HB0469,Local Government - Annapolis and Anne Arundel County Conference and Visitors Bureau Designation,"Altering references to the Annapolis and Anne Arundel County Conference and Visitors Bureau to be Visit Annapolis and Anne Arundel County, Inc.","The bill updates references to the Annapolis and Anne Arundel County Conference and Visitors Bureau to 'Visit Annapolis and Anne Arundel County, Inc.' and specifies the distribution of hotel tax revenue to this organization and other funds, along with reporting and auditing requirements.",False,2025,2025,0.0,Anne Arundel County and City of Annapolis government agencies,"Tourism organizations, local government, residents, and visitors of Annapolis and Anne Arundel County",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0470,"Vehicle Laws - Obscured, Modified, or Blocked Registration Plates and Registration Plate Covers","Prohibiting a person from obscuring or modifying any vehicle registration plate in a manner that may prevent identification and enforcing the prohibition as a secondary offense; prohibiting a person from advertising for or promoting the sale of an unlawful registration plate cover by falsely claiming that the registration plate cover is lawful in the State; and establishing that a violation of the Act is an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalties.","The bill prohibits obscuring, modifying, or blocking vehicle registration plates and bans the sale and promotion of unlawful registration plate covers that obscure or distort plates. It enforces these rules as secondary violations and establishes penalties for violations.",True,2025,2025,0.0,Maryland Department of Transportation or law enforcement agencies,"Vehicle owners, law enforcement, and businesses selling registration plate covers in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0472,Baltimore City - Alcoholic Beverages - 45th Alcoholic Beverages District - Licenses,"Authorizing the Board of License Commissioners for Baltimore City to issue a Class C beer, wine, and liquor license in a certain area of the 45th alcoholic beverages district in Baltimore City under certain circumstances; and altering a geographic boundary in the 45th district within which the holder of a Class A or Class B-D-7 beer, wine, and liquor license must operate in accordance with specified hours.","The bill authorizes the Baltimore City Board of License Commissioners to issue a new Class C alcohol license in the 45th district, modifies geographic boundaries for existing licenses, and adjusts sale hours and conditions for various alcohol licenses within Baltimore City.",False,2025,2025,0.0,Baltimore City Board of License Commissioners,"Alcohol license holders, residents, and businesses in Baltimore City, especially in the 45th district",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0473,Maryland Community College Promise Scholarship Program - Revisions,Altering the number of years that a recipient of an award under the Maryland Community College Promise Scholarship Program may hold the award under certain circumstances.,"The bill revises the Maryland Community College Promise Scholarship Program by extending the maximum duration a recipient can hold the award from 3 years to 6 years after first enrolling, under certain conditions.",False,2025,2025,0.0,Maryland State Department of Education,Community college students in Maryland receiving Promise Scholarships,The bill's focus on scholarship duration and eligibility does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0475,Transportation Equality for Service Members Act,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; and altering the application of certain provisions of law governing transportation to apply to all uniformed services, rather than only certain uniformed services.","The bill establishes rules of interpretation for military service members and veterans, expands transportation-related benefits and legal provisions to include all uniformed services, and provides specific accommodations for active duty service members and veterans in Maryland.",False,2025,2025,0.0,Maryland Department of Veterans and Military Families,"Military service members, veterans, and their families in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0476,St. Mary's County - Alcoholic Beverages - Class A License Quota,Altering the quota for the number of Class A alcoholic beverages licenses that may be issued in the 8th election district in St. Mary's County.,"This bill alters the quota for the number of Class A alcoholic beverage licenses that can be issued in the 8th election district in St. Mary's County, Maryland, based on population statistics.",False,2025,2025,0.0,Maryland Alcoholic Beverages Board,"Residents and businesses in St. Mary's County, especially in the 8th election district",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0477,State Department of Education - Family Child Care Homes and Child Care Centers - Regulatory Analysis,"Requiring the State Department of Education to conduct a thorough analysis of the State's regulatory framework for child care facilities with particular emphasis on regulations that limit a person's ability to register a child care facility, receive a license to operate a child care center, or operate a child care facility in a profitable manner while providing quality care; and requiring an interim and final report be submitted to the Governor and the General Assembly by January 1, 2026, and September 1, 2026, respectively.","This bill revises child care regulations in Maryland, including child-to-adult ratios in family child care homes and centers, and mandates a comprehensive analysis of the state's regulatory framework for child care facilities, with reports due in 2026.",True,2025,2026,0.0,Maryland State Department of Education,"Child care providers, children in care, families, and regulatory agencies in Maryland","The bill's focus on regulatory analysis and potential reforms could impact the ease of opening and operating child care facilities, thereby affecting access to capital for providers.",7.0
2025 Regular Session,HB0478,Hagerstown Community College Police Force - Jurisdiction,Authorizing a Hagerstown Community College police officer to exercise powers granted to a peace and police officer under certain circumstances.,"This bill authorizes Hagerstown Community College police officers to exercise certain law enforcement powers outside the college property under specific circumstances within Washington County, Maryland.",True,2025,0,0.0,Hagerstown Community College Police Force in coordination with Maryland law enforcement agencies,"Hagerstown Community College students, staff, and the local community within Washington County",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0480,St. Mary’s County – County Plans – Public Sewerage Systems and Water Supply Systems,Applying certain provisions relating to the adoption of or revision or amendment to a county plan to county plans in St. Mary's County; and repealing certain provisions relating to public sewerage systems and water supply systems in St. Mary's County.,"The bill modifies the process for adopting or amending county plans related to public sewerage and water supply systems in St. Mary’s County, including repealing certain existing provisions and establishing new review and approval procedures.",False,2025,2025,0.0,St. Mary’s County government and Planning Commission,"Residents and businesses in St. Mary’s County, especially those involved in or affected by sewerage and water supply infrastructure planning",The bill does not directly establish or fund programs that impact access to capital for small businesses.,1.0
2025 Regular Session,HB0481,Washington County - Board of License Commissioners - Membership,Requiring that certain numbers of members of the Board of License Commissioners for Washington County belong to certain political parties based on the aggregated number of votes in the preceding election of the Board of County Commissioners.,"This bill amends the membership rules for the Washington County Board of License Commissioners, requiring that two members belong to the political party with the highest number of votes in the previous election and one member to the second highest, replacing the previous rule that no more than two members could belong to the same party.",False,2025,2025,0.0,Washington County Board of License Commissioners,"Residents and businesses in Washington County, Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0482,Occupational Licensing and Certification - Criminal History - Predetermination Review Process,"Providing that ""department"" does not include the Maryland Department of Health or the Department of Public Safety and Correctional Services for purposes of certain provisions prohibiting a department from refusing to issue an occupational license or certificate based on a certain conviction under certain circumstances; establishing a predetermination review process for occupational licenses and certificates in certain departments of State government; authorizing a department to charge a criminal history review fee of up to $100; etc.","The bill establishes a predetermination review process for occupational licenses and certificates in certain Maryland state departments, allowing individuals to request a review of their criminal history to determine if it disqualifies them from obtaining a license.",True,2025,2028,0.0,"Maryland Department of Agriculture, Department of the Environment, Department of Human Services, Maryland Department of Labor",Individuals seeking occupational licenses or certificates in Maryland with criminal histories,"The program could improve access to occupational licenses for individuals with criminal histories, potentially increasing their economic opportunities.",7.0
2025 Regular Session,HB0485,St. Mary's County - Corrections,"Adding programs, a day reporting program, an in-patient treatment program, and a pretrial release supervision program, that the St. Mary's County Sheriff is authorized to establish; repealing a requirement that the Sheriff or the Sheriff's designee collect the earnings of a certain individual participating in a certain program; and authorizing the Sheriff or the Sheriff's designee to direct an individual participating in a certain program to provide proof that the individual has made payments toward certain obligations.","The bill authorizes the Sheriff of St. Mary's County to establish various correctional programs, including home detention, day reporting, work release, inpatient treatment, pretrial supervision, and prerelease programs. It also allows the Sheriff to direct participants to provide proof of payments toward certain obligations and removes the previous requirement that earnings of participants be collected.",True,2025,0,0.0,St. Mary's County Sheriff,Individuals participating in correctional programs in St. Mary's County,The bill has the potential to improve access to capital for program participants by allowing them to provide proof of payments toward obligations instead of earnings being automatically collected.,7.0
2025 Regular Session,HB0486,St. Mary's County - Alcoholic Beverages - Civil Penalty for Sales Violations,"Increasing, from $1,000 to $2,500, the maximum civil penalty that the Board of License Commissioners for St. Mary's County may impose for a violation of a law relating to licensing the sale of alcoholic beverages.","The bill increases the maximum civil penalty that the Board of License Commissioners for St. Mary's County can impose for violations related to the sale of alcoholic beverages, raising it from $1,000 to $2,500.",False,2025,2025,0.0,Board of License Commissioners for St. Mary's County,Alcoholic beverage licensees and the general public in St. Mary's County,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0489,Maryland Department of Labor - Study on Building Code Requirements for Single-Staircase Buildings,"Requiring the Maryland Department of Labor to study building code requirements for single-staircase buildings in the State and other States and analyze best practices when drafting building code requirements; requiring the Department to make legislative and regulatory recommendations for the purpose of increasing the affordable housing supply by reducing barriers to multifamily housing development; and requiring the Department to report to the Governor and certain committees of the General Assembly by December 1, 2026.",The bill requires the Maryland Department of Labor to study building code requirements for single-staircase buildings and make recommendations to potentially allow the construction of up to six-story buildings with a single staircase to increase affordable housing.,True,2025,2026,0.0,Maryland Department of Labor,"Housing developers, residents, fire safety officials, and policymakers interested in affordable housing and building safety.","The program aims to reduce barriers to multifamily housing development, which could facilitate access to capital for developers and investors.",7.0
2025 Regular Session,HB0490,St. Mary's County - Competitive Bidding - Threshold,"Increasing the minimum contract value to $50,000 to require a competitive bidding process in St. Mary's County for contracts for services or supplies.","This bill increases the minimum contract value threshold for requiring a competitive bidding process in St. Mary's County from $15,000 to $50,000 for contracts for services or supplies.",False,2025,2025,0.0,St. Mary's County government,County government and contractors in St. Mary's County,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0491,St. Mary's County - Metropolitan Commission - Discontinuance of Service,"Authorizing the St. Mary's County Metropolitan Commission to discontinue all or part of water or sewer service provided to an improved private property determined to be unsafe, unfit, or unsuitable for human occupancy due to an accident, artificial disaster, or natural disaster; requiring the suspension of the ready-to-serve charge on certain private properties; and authorizing the St. Mary's County Metropolitan Commission to utilize certain remedies for a violation related to certain public water and sewer use.","This bill authorizes the St. Mary's County Metropolitan Commission to discontinue water or sewer service to private properties under certain circumstances, including nonpayment and unsafe conditions, and to suspend the ready-to-serve charge during service discontinuance. It also establishes enforcement remedies for violations of water and sewer regulations.",False,2025,2025,0.0,St. Mary's County Metropolitan Commission,Private property owners and residents in St. Mary's County,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0492,Frederick County - County Employees and Volunteers - Criminal History Records Check,Authorizing the Director of Human Resources of Frederick County to request from the Criminal Justice Information System Central Repository of the Department of Public Safety and Correctional Services a State and national criminal history records check for a prospective or current county employee or county volunteer; requiring the Central Repository to forward certain information to certain persons; requiring that the information remain confidential and that it be used only for personnel-related purposes; etc.,"This bill authorizes Frederick County's Human Resources Director to request criminal history records checks for current or prospective employees and volunteers, and establishes procedures for handling and contesting such records.",True,2025,2025,0.0,Frederick County Department of Human Resources,County employees and volunteers in Frederick County,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0494,Recreational Equality for Service Members Act,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; altering the application of certain provisions of law governing public health and the regulation of health occupations to apply to all uniformed services, rather than only the armed forces; altering the circumstances under which licenses for fishing in tidal waters do not lapse; etc.","The bill establishes rules of interpretation for service members and veterans, expands access to natural resources and recreational activities for active duty members and veterans, and provides fee exemptions for entry into state parks for active service members and veterans.",False,2025,2025,0.0,Department of Natural Resources and Department of Veterans and Military Families,"Active service members, veterans, disabled veterans, Gold Star recipients, and their families in Maryland","The bill primarily focuses on recreational and fee exemptions for service members and veterans, with no direct programs related to access to capital.",1.0
2025 Regular Session,HB0497,Residential Child Care Programs - Transportation Companies - Regulation (Preventing Abduction in Youth Transport Act of 2025),Prohibiting transportation companies that transport children to residential child care programs from using certain restraints unless there is a substantial likelihood of imminent serious physical harm to a child or others; prohibiting transportation companies that transport children to residential child care programs from picking up children between the hours of 9 p.m. and 6 a.m.; authorizing an individual and the Attorney General to bring a certain civil action against certain transportation companies; and applying the Act prospectively.,"The bill regulates transportation companies that transport children to residential child care programs, prohibiting certain restraints and restricting pickup hours to prevent child abduction.",True,2025,9999,0.0,Maryland Department of Human Services and the Attorney General's Office,"Children in residential child care programs, transportation companies, and their families",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0500,Procurement Reform Act of 2025,Authorizing the Secretary of General Services to delegate certain powers and duties to the Chief Procurement Officer; altering the authority of the Department of General Services to engage in or control procurement of certain equipment and services; requiring the Department of Information Technology to establish a technical procurement team; altering the authority of the Department of Transportation and the Maryland Transportation Authority to engage in procurement for certain supplies and services; etc.,"This bill overhauls Maryland's procurement laws, establishing new procedures, programs, and evaluation factors to promote small, minority, women, veteran-owned businesses, environmental outcomes, and good labor practices in state contracting.",True,2025,9999,0.0,"Maryland Department of General Services and Office of Small, Minority, and Women Business Affairs","Small businesses, minority-owned businesses, veteran-owned businesses, environmental organizations, state agencies, contractors, and workforce development programs","The bill introduces programs and evaluation factors that could significantly improve small business access to capital through targeted procurement preferences, certifications, and performance-based contracting.",8.0
2025 Regular Session,HB0502,Office of Disability Employment Advancement and Policy and Maryland as a Model Employer Initiative - Established,"Establishing the Office of Disability Employment Advancement and Policy within the Department of Disabilities; establishing the Maryland as a Model Employer Initiative within the Office of Disability Employment Advancement and Policy to facilitate efforts that improve outcomes in the hiring, recruitment, retention, and advancement of people with disabilities in the State government workforce; authorizing the Governor for fiscal year 2027, to include $250,000 in the annual budget bill for the Office; etc.",The bill establishes the Office of Disability Employment Advancement and Policy within the Maryland Department of Disabilities and creates the Maryland as a Model Employer Initiative to improve employment outcomes for people with disabilities in state government.,True,2026,0,250000.0,Department of Disabilities,"People with disabilities seeking employment, state government agencies, and related organizations","The program aims to improve employment opportunities for people with disabilities, which can enhance their access to employment-related resources and support, indirectly impacting access to capital.",4.0
2025 Regular Session,HB0504,Excellence in Maryland Public Schools Act,Altering the source of funds for the Blueprint for Maryland's Future Fund to include the interest earnings of the Academic Excellence Fund; authorizing the Department to establish a national teacher recruitment campaign; establishing the Academic Excellence Program in the Department to address critical academic needs in public schools; requiring the Department to consult with a certain entity to evaluate  the Concentration of Poverty School Grant Program and establish requirements for community school implementation plans; etc.,"This bill makes extensive reforms to Maryland's education funding, programs, and policies, including establishing new grants, programs, and initiatives to improve student achievement, support community schools, enhance teacher recruitment and development, and implement the Blueprint for Maryland's Future.",True,2025,2034,100000000.0,Maryland State Department of Education,"Students, families, teachers, school administrators, community organizations, and local education agencies in Maryland","The bill's programs and grants aim to improve educational outcomes and support community and school development, which can indirectly enhance access to capital for educational initiatives, but it primarily focuses on funding and program development.",4.0
2025 Regular Session,HB0506,Chesapeake Bay Legacy Act,"Establishing the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program; establishing the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program Fund to support actions associated with the Program's purpose; altering the definition of ""healthy soils"" for purposes of the Maryland Healthy Soils Program; exempting certain holders of certain fishing licenses from the requirement to obtain a food establishment license from the Maryland Department of Health; establishing the Water Quality Monitoring Program; etc.","The bill establishes the Maryland Leaders in Environmentally Engaged Farming (LEEF) Program, creates a dedicated fund for it, and implements various water quality, fisheries management, and land leasing initiatives aimed at environmental restoration and sustainable farming practices in Maryland.",True,2025,2030,18000000.0,Maryland Department of Agriculture and Maryland Department of the Environment,"Farmers, environmental agencies, local communities, and aquatic life in Maryland","The bill provides financial incentives and funding to promote environmentally sustainable farming practices, which could improve access to capital for farmers adopting these practices.",7.0
2025 Regular Session,HB0507,State Contracts - Prohibited Provisions,Clarifying a prohibition on including in State contracts provisions pertaining to limitations of liability for damage to real or tangible personal property; and clarifying a prohibition on including in State contracts provisions limiting the recovery of costs related to the use of replacement contractors under certain circumstances.,"This bill clarifies and prohibits certain provisions in State contracts in Maryland, including limitations on liability for damage to property, restrictions on recovery of costs related to replacement contractors, and other specific contractual clauses.",False,2025,2025,0.0,"Maryland State government, specifically the Department of General Services or relevant state contracting authority","Maryland State government, contractors, and the public interested in state procurement practices",The bill's focus on contract provisions does not directly impact small business access to capital.,1.0
2025 Regular Session,HB0508,State Procurement Preferences - Blind Industries and Services of Maryland - Packaging and Repackaging,Requiring a State or State aided or controlled entity to require a prime contractor to procure certain janitorial products packaged or repackaged by Blind Industries and Services of Maryland.,"The bill requires state entities to include in maintenance contracts a requirement that prime contractors procure janitorial products from Blind Industries and Services of Maryland if the products are made, remanufactured, packaged, repackaged, or assembled by them and are available.",False,2025,2025,0.0,State or State aided or controlled entities,"Blind Industries and Services of Maryland, state contractors, and the public benefiting from janitorial services","The bill promotes procurement from Blind Industries and Services of Maryland, potentially increasing their sales and revenue, which could improve their access to capital.",6.0
2025 Regular Session,HB0509,Maryland Inventory of Cemeteries and Burial Sites Workgroup - Establishment,"Establishing the Maryland Inventory of Cemeteries and Burial Sites Workgroup for the purpose of studying issues related to the establishment and maintenance of a State cemetery inventory system; and requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly by December 1, 2025.","This bill establishes the Maryland Inventory of Cemeteries and Burial Sites Workgroup to study issues related to creating and maintaining a statewide cemetery inventory system, including definitions, practices, costs, and potential funding.",True,2025,2026,0.0,Maryland Historical Trust and Maryland Office of Cemetery Oversight,"Local governments, genealogical and historical organizations, descendant communities, religious and private cemeteries in Maryland","The bill's focus is on studying and recommending a cemetery inventory system, not directly providing capital or funding to small businesses.",2.0
2025 Regular Session,HB0512,Frederick County - Barbershop and Beauty Salon Beer and Wine License - Alterations,Increasing from 5 to 6.5 ounces of wine by the glass that a holder of a barbershop or beauty salon beer and wine license in Frederick County may provide to a certain customer for on-premises consumption.,"The bill amends the regulations for beer and wine licenses in Frederick County, Maryland, increasing the allowed wine serving size from 5 ounces to 6.5 ounces for barbershop and beauty salon license holders, and clarifies the rules around on-premises consumption and licensing.",False,2025,2025,0.0,Frederick County Department of Permits and Inspections,"Barbershop and beauty salon owners, customers in Frederick County, and local regulators",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0513,Crimes Relating to Animals - Restrictions on Keeping Roosters,"Prohibiting, beginning January 1, 2027, a certain person from keeping a rooster movement-constrained through use of a certain enclosure or tether, subject to certain exceptions; establishing that a violation of the Act is a civil offense; and providing the Act may be enforced by any State or local law enforcement officers or local animal control authority for the jurisdiction where the violation occurs.","The bill prohibits keeping more than 5 roosters per acre or a total of 25 roosters on a property starting January 1, 2027, unless authorized by the Department of Agriculture. It aims to address issues related to cockfighting and the spread of avian flu.",True,2025,2027,0.0,Maryland Department of Agriculture,"Rooster owners, animal control agencies, local governments, and the general public concerned with animal welfare and public health",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0514,Health Occupations - State Board of Chiropractic Examiners - Revisions,"Altering certain provisions of law governing the State Board of Chiropractic Examiners and the practice of chiropractic in the State related to Board membership, licensure of chiropractors, the discipline of chiropractors, and the denial of licenses to applicants; authorizing the Board to inspect chiropractor offices under certain circumstances; and requiring the Board to require a licensee or applicant to submit to an examination by a health care provider under certain circumstances.","This bill revises laws governing the Maryland State Board of Chiropractic Examiners, including changes to Board membership, licensure, discipline, inspection authority, and examination requirements for chiropractors.",False,2025,2025,0.0,Maryland State Board of Chiropractic Examiners,Chiropractors and chiropractic students in Maryland,The bill does not directly impact small business owners' access to capital.,1.0
2025 Regular Session,HB0515,Anne Arundel County - Alcoholic Beverages Licenses - Veterans' Organizations,"Authorizing a certain holder of a Class C beer, wine, and liquor license in Anne Arundel County to convert the license to a Class C (veterans' organization) license; reducing from $400 to $300 the annual license fee for a Class C (veterans' organization) license; authorizing the Board of License Commissioners for Anne Arundel County to provide application and administrative fee discounts to certain licensees and applicants; and authorizing a Class C (veterans' organization) licensee to operate on Sunday without a Sunday license.","The bill authorizes a holder of a Class C beer, wine, and liquor license in Anne Arundel County to convert it to a Class C (veterans' organization) license, adjusts the license fee, allows discounts for certain applicants, and permits operation on Sundays without a separate license for veterans' organizations.",False,2025,2025,0.0,Board of License Commissioners for Anne Arundel County,Veterans' organizations and alcohol license holders in Anne Arundel County,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0516,Motor Vehicles - Automated Enforcement Programs - Privacy Protections,"Requiring a custodian of recorded images produced by certain automated enforcement systems to deny inspection of the images, subject to certain exceptions; prohibiting certain State and local agencies from using a recorded image or associated data from an automated enforcement system subject to certain exceptions; and establishing certain requirements and authorizations for the removal and destruction of recorded images and associated data produced by an automated enforcement system.","This bill enhances privacy protections for automated enforcement programs in Maryland by restricting access, use, and sharing of recorded images and data, establishing destruction protocols, and requiring procedural safeguards.",True,2025,2029,0.0,Maryland State and local agencies implementing automated enforcement systems,"Motor vehicle operators, law enforcement agencies, and the general public in Maryland",The bill primarily focuses on privacy and procedural protections rather than direct financial support or capital access programs.,2.0
2025 Regular Session,HB0517,Workgroup on the Reorganization of the Maryland Transit Administration,"Establishing the Workgroup on the Reorganization of the Maryland Transit Administration to study reorganizing the Maryland Transit Administration; requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly on or before December 1, 2025; and requiring the Department of Transportation, in consultation with the Department of Legislative Services, to submit to the President of the Senate and the Speaker of the House draft legislation to effectuate the recommendations of the Workgroup.","This bill establishes the Maryland Rail Commuter (MARC) Rail Authority, defines its powers and responsibilities, and creates a workgroup to study the reorganization of the Maryland Transit Administration, including the potential transfer of local Baltimore City transit services to the new authority.",True,2025,2027,150000.0,Maryland Department of Transportation,"Maryland residents, transit riders, Baltimore City transit users, local government, and transportation agencies","The bill has a high potential to impact small business owners' access to capital by improving transit infrastructure and services, which can facilitate economic activity and development.",8.0
2025 Regular Session,HB0527,Maryland Transit Administration - Purple Line - Free Ridership and Promotional Materials and Services,"Requiring the Maryland Transit Administration to develop and implement a program providing for the first month after transit service begins on the Purple Line, free ridership on Purple Line transit vehicles to individuals residing within a one-quarter-mile radius of the Purple Line track; and requiring the Administration to include, beginning on October 1, 2025, for 3 months after service on the Purple Lines begins promotional materials and services at no cost to small businesses located within a one-quarter-mile radius of the Purple Line track.",The bill requires the Maryland Transit Administration to offer free ridership on the Purple Line for residents within a quarter-mile of the track for the first three months of service. It also mandates free advertising space on Purple Line vehicles and stations for small businesses within the same radius for three months after service begins.,True,2025,2025,0.0,Maryland Transit Administration,Residents living near the Purple Line and small businesses within a quarter-mile of the Purple Line track,"The bill's focus on free advertising space for small businesses could enhance their visibility and access to customers, indirectly supporting their access to capital.",6.0
2025 Regular Session,HB0528,Baltimore County - Vehicle Laws - Private Roadways in Residential Communities,"Prohibiting, from October 1, 2025, to July 1, 2028, a person from driving a motor vehicle in violation of certain provisions of the Maryland Vehicle Law on private roadways in a certain residential community in Baltimore County; authorizing, from October 1, 2025, to July 1, 2028, a police officer to enforce the vehicle law on private roadways in a certain residential community in Baltimore County; and prohibiting a person from driving a motor vehicle in violation of the Act on any roadway located in certain areas of Calvert County.","The bill prohibits driving violations on private roadways within certain residential communities in Baltimore County for a specified period, and authorizes police enforcement during that time. It also requires a report on the program's effectiveness after three years.",True,2025,2028,0.0,Baltimore County Police Department,Residents of the Queen Anne Village community and other residents in Baltimore County and Calvert County using private roadways,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0533,Peace Orders and Protective Orders – Military Protection Orders,Authorizing a judge to consider whether a military protection order has been issued against a respondent when determining whether to grant a temporary peace order or a temporary protective order; and requiring a law enforcement officer to notify a certain law enforcement agency that an individual may have violated a military protection order under certain circumstances.,"The bill authorizes judges to consider military protection orders when issuing peace or protective orders, requires law enforcement to notify agencies of potential violations of military protection orders, and updates legal procedures related to these orders.",True,2025,2025,0.0,Maryland courts and law enforcement agencies,"Individuals involved in peace or protective orders, military service members, law enforcement agencies, and the judiciary",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0535,Abandoned and Neglected Cemeteries Fund - Establishment,"Establishing the Abandoned and Neglected Cemeteries Fund to provide for the care, preservation, maintenance, and restoration of abandoned and neglected cemeteries in the State; authorizing the Governor to include in the annual budget bill an appropriation of $250,000 to the fund; and requiring an annual report by September 30 to the General Assembly on the donations to the Fund and promotional efforts undertaken by money from the Fund.","The bill establishes the Abandoned and Neglected Cemeteries Fund to support the care, preservation, and restoration of such cemeteries in Maryland. It creates a voluntary income tax checkoff for contributions to the fund, authorizes appropriations, and sets reporting requirements.",True,2025,2028,250000.0,Maryland Department of Labor and State Treasurer,"Owners and caretakers of abandoned and neglected cemeteries in Maryland, and the general public interested in cemetery preservation.","The bill provides a dedicated fund and a voluntary contribution mechanism, which could facilitate financial support for cemetery preservation projects, indirectly impacting access to capital for related initiatives.",4.0
2025 Regular Session,HB0538,Department of Human Services - Federal Commodity Supplemental Food Program - Administration,Requiring the Family Investment Administration in the Department of Human Services to be the central coordinating and directing agency of the federal Commodity Supplemental Food Program using certain funds and resources; and repealing the requirement that the Secretary of Aging administer the Program.,"The bill designates the Family Investment Administration in the Maryland Department of Human Services as the central agency for coordinating the federal Commodity Supplemental Food Program, replacing the previous requirement that the Secretary of Aging administer the program.",True,2025,0,0.0,"Family Investment Administration, Department of Human Services",Low-income individuals and families participating in the federal Commodity Supplemental Food Program in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0541,Department of Commerce - Nonprofit Organizations Navigator - Established,"Establishing a nonprofit organizations navigator within the Department of Commerce to provide technical assistance and work with nonprofits and units of State government to resolve complexities and delays in State grant-making processes, collect and share certain information, and represent nonprofit organizations' interests and concerns as a member of the Maryland Efficient Grant Application Council; and requiring the Department to report to certain committees of the General Assembly on the implementation of the navigator.","This bill establishes a nonprofit organizations navigator within the Maryland Department of Commerce to assist nonprofits with accessing and applying for state grants, and to represent their interests on the Maryland Efficient Grant Application Council. It also modifies the composition and duties of the Maryland Efficient Grant Application Council and related provisions.",True,2025,2027,0.0,Maryland Department of Commerce,Nonprofit organizations in Maryland,The program has a high potential to improve access to capital for small nonprofit organizations by providing technical assistance and streamlining grant processes.,8.0
2025 Regular Session,HB0542,Adult Protective Services - Investigations and Disclosure of Information,Authorizing a local department of social services to request assistance from federal law enforcement officers in an investigation relating to an alleged vulnerable adult; and altering certain provisions relating to the disclosure of certain information concerning human services to include adult protective services.,"The bill authorizes local departments of social services to request assistance from federal law enforcement in investigations related to alleged vulnerable adults, modifies disclosure rules for adult protective services information, and clarifies investigation procedures for adult abuse and neglect in Maryland.",True,2025,2025,0.0,Maryland Department of Human Services and local departments of social services,"Vulnerable adults and their families, social services agencies, law enforcement agencies, and federal law enforcement involved in investigations",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0546,Digital Advertising Gross Revenues Tax - Assessments - Appeals and Corrections,"Establishing a certain appeal process for persons who are subject to the digital advertising gross revenues tax and receive a notice of assessment from the Comptroller; authorizing the Comptroller or the Comptroller's designee to issue an order to correct an erroneous assessment of the digital advertising gross revenues tax, subject to certain conditions; and applying the Act to assessments of the digital advertising gross revenues tax made after December 31, 2025.","The bill establishes an appeal process for persons subject to the digital advertising gross revenues tax in Maryland, allowing them to contest assessments and request corrections or abatements.",False,2026,0,0.0,Maryland Comptroller's Office,Businesses subject to the digital advertising gross revenues tax in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
