YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2025 Regular Session,HB0301,Criminal Procedure - Forensic Genetic Genealogical DNA Analysis and Search - Affidavit for Judicial Authorization,Altering and clarifying the requirement that a sworn affidavit for judicial authorization to initiate forensic genetic genealogical DNA analysis and search (FGGS) assert that the reasonable investigative leads have been pursued and failed to identify the perpetrator and instead requiring that a sworn affidavit for judicial authorization assert that identity of the perpetrator is unknown.,"The bill clarifies the requirements for law enforcement to obtain judicial authorization for forensic genetic genealogical DNA analysis and search (FGGS) in criminal investigations, specifying the criteria and affidavit process.",Maryland courts and law enforcement agencies,"Law enforcement agencies, criminal suspects, victims, and the general public involved in criminal investigations","The bill does not directly impact small business failure rates, as it pertains to criminal investigation procedures.",1.0
2025 Regular Session,HB0302,Courts and Judicial Proceedings - Statement of Charges - Human Service Workers,Expanding certain provisions of law relating to a certain investigation and recommendation by a State's Attorney concerning the filing of a statement of charges against certain professionals to include certain human service workers.,"The bill expands the process for filing statements of charges against certain professionals, including human service workers such as adult protective services workers, child welfare caseworkers, educators, law enforcement officers, and emergency services personnel, requiring a prior investigation and recommendation by the State's Attorney.",Maryland State's Attorney's Office,"Human service workers, law enforcement officers, educators, emergency services personnel, and the populations they serve.","The bill's focus is on procedural changes for filing charges against professionals, not on direct support or programs for small businesses, so it has minimal impact on small business failure rates.",1.0
2025 Regular Session,HB0309,Public Safety - Law Enforcement Agencies - Peer Support Programs,Establishing certain confidentiality requirements for peer support counseling programs for law enforcement agencies; prohibiting a peer support specialist from  disclosing the contents of any written or oral communication regarding a peer support interaction; and providing certain exceptions.,"The bill establishes confidentiality requirements for peer support counseling programs for law enforcement officers in Maryland, ensuring that communications are protected unless certain exceptions apply.",Law enforcement agencies and the Fraternal Order of Police implementing peer support programs.,Law enforcement officers and law enforcement agencies in Maryland.,The bill does not directly impact small businesses or their failure rates.,1.0
2025 Regular Session,HB0313,Motor Vehicles - Specially Designed Vintage Reproduction Registration Plates,Repealing the time limitation within which the Motor Vehicle Administration is required to make available specially designed vintage reproduction registration plates; and requiring the Administration to charge a fee of $100 for the initial issuance and $25 for the renewal of a specially designed vintage reproduction registration plate.,"The bill repeals the time limitation for making vintage reproduction registration plates available, requires the Maryland Motor Vehicle Administration to develop and sell these plates, and sets fees for initial issuance and renewal.",Maryland Motor Vehicle Administration,Vehicle owners of qualifying vehicles interested in vintage reproduction plates,The bill's impact on small business failure rates is minimal as it primarily involves vehicle registration fees and availability of vintage plates.,2.0
2025 Regular Session,HB0315,Task Force to Study Fiduciary Adjudication in Maryland,"Establishing the Task Force to Study Fiduciary Adjudication in Maryland to examine and analyze the efficiency, uniformity, and quality of fiduciary adjudication in Maryland and make recommendations; requiring the orphans' courts, circuit courts, registers of wills, and Administrative Office of the Courts to comply with certain requests of the Task Force; and requiring the Task Force to report its findings and make recommendations on or before January 1, 2026.","The bill establishes a Task Force to Study Fiduciary Adjudication in Maryland to examine and improve the efficiency, uniformity, and quality of fiduciary adjudication processes across the state, including probate, trusts, and guardianships.",The Department of Legislative Services in conjunction with the Maryland State Bar Association.,"Families, fiduciaries, judges, and legal professionals involved in fiduciary matters such as probate, trusts, and guardianships in Maryland.","The bill does not directly address small business failure rates, but aims to improve legal processes related to fiduciary matters, which could indirectly benefit small businesses involved in estate and trust management.",2.0
2025 Regular Session,HB0322,Election Law - Municipal Elections - Administration,Authorizing the State Administrator of Elections to enter into memoranda of understanding with municipal corporations that allow the State Administrator to work collaboratively with a municipal corporation to support the administration of the municipal corporation's elections; authorizing the State Administrator to lease a voting system or other equipment used to administer an election for use in a municipal election; repealing the authority of a local board to lease a voting system to certain entities within the county; etc.,"The bill authorizes the Maryland State Administrator of Elections to collaborate with municipal corporations, including entering into memoranda of understanding and leasing voting systems for municipal elections. It also modifies procedures for municipal election ballot requests and includes provisions for the inclusion of municipal elections on state ballots.",Maryland State Administrator of Elections,Municipalities and residents participating in municipal elections in Maryland,"The bill does not directly address small business failure rates, but by improving election administration, it may indirectly support a stable political environment.",2.0
2025 Regular Session,HB0323,Domestic Partnership and Marriage - Required Information,Clarifying required information for registering a domestic partnership or obtaining a marriage license; and requiring a declaration of domestic partnership filed with the register of wills to include the Social Security number of each domestic partner who has a Social Security number.,"The bill clarifies the requirements for registering a domestic partnership and obtaining a marriage license in Maryland. It mandates including Social Security numbers in declarations of domestic partnership and marriage license applications, and specifies privacy protections for this information.",The Maryland Department of Health and the Office of the Clerk of the Court (or equivalent local clerk's office) are responsible for implementing the programs.,"Individuals seeking to register domestic partnerships or obtain marriage licenses in Maryland, including couples and their families.","The bill does not directly address small business failure rates, but by clarifying legal procedures and privacy protections, it may reduce administrative burdens for related service providers.",2.0
2025 Regular Session,HB0324,County Boards of Education - Antibias Training for Members - Requirement (County Board Member Antibias Training Act),Requiring each member of a county board of education to complete certain antibias training at least once during the member's term.,The bill requires each member of a county board of education in Maryland to complete an antibias training at least once during their term. It also mandates the development of antibias training guidelines for school employees and requires biannual training for public school employees who interact frequently with students.,Maryland Department of Education and county boards of education,"Members of county boards of education, public school employees, students, and communities served by the schools",The bill does not directly address small business failure rates; its focus is on antibias training for education officials and staff.,1.0
2025 Regular Session,HB0325,Adult Education - High School Diploma by Examination - Requirements and Study,"Requiring the Maryland Department of Labor to allow an individual to choose to take all components of the General Educational Development Test in either English or Spanish; and requiring the Department to study the feasibility and cost of offering the examination in additional languages and to report its findings and recommendations to certain committees of the General Assembly on or before December 1, 2026.","The bill allows individuals in Maryland to take all components of the General Educational Development (GED) test in the same language, either English or Spanish, and requires the Maryland Department of Labor to study offering the GED in additional languages and report on its feasibility.",Maryland Department of Labor and Maryland Department of Education,"Adult learners seeking a high school diploma through examination, including English language learners and individuals who have withdrawn from traditional schooling.","The bill primarily impacts educational pathways and does not directly target small business failure rates, so its potential to reduce small business failure is minimal.",1.0
2025 Regular Session,HB0328,State Lottery – Instant Ticket Lottery Machines – Veterans’ and Fraternal Organizations,Authorizing the Director of the State Lottery and Gaming Control Agency to issue certain fraternal organizations a license for not more than three instant ticket lottery machines; altering the distribution of proceeds from instant ticket lottery machine sales by veterans' organizations; providing for the distribution of proceeds from instant ticket lottery machine sales by fraternal organizations; altering certain requirements concerning the conduct of gaming through instant ticket lottery machines; etc.,"The bill authorizes the Maryland State Lottery and Gaming Control Agency to issue licenses to certain veterans' and fraternal organizations to operate instant ticket lottery machines, modifies the distribution of proceeds from these machines, and sets regulations on their operation and location.",Maryland State Lottery and Gaming Control Agency,"Veterans' organizations, fraternal organizations, and the general public in Maryland who participate in or are affected by lottery gaming activities.","The bill's provisions could potentially support small organizations by allowing them to operate lottery machines and generate revenue, which may help reduce their risk of failure.",4.0
2025 Regular Session,HB0331,Public Information Act - Public Access Ombudsman - Delegation of Powers,Authorizing the Public Access Ombudsman to delegate to a staff member of the Office of the Public Access Ombudsman any of the powers and duties granted to the Ombudsman that are appropriate to the staff member's training and expertise.,"The bill authorizes the Public Access Ombudsman in Maryland to delegate certain powers and duties to staff members, enhancing the office's efficiency and autonomy.","Office of the Public Access Ombudsman, supported by the Office of the Attorney General",Public access to government information and transparency advocates in Maryland,"The bill does not directly address small business failure rates, but improving transparency and access could indirectly benefit small businesses by fostering a more open government environment.",2.0
2025 Regular Session,HB0333,Healthcare Ecosystem Stakeholder Cybersecurity Workgroup,"Establishing the Healthcare Ecosystem Stakeholder Cybersecurity Workgroup to develop strategies to prevent cybersecurity disruptions to the healthcare ecosystem, ensure the continuous delivery of essential healthcare ecosystem services, and enhance recovery efforts of the healthcare ecosystem following a cybersecurity incident; and requiring the Workgroup to submit an interim report on or before January 1, 2026, and a final report of its findings and recommendations on or before December 1, 2026.","The bill establishes a Healthcare Ecosystem Stakeholder Cybersecurity Workgroup in Maryland to develop strategies for preventing cybersecurity disruptions, ensuring continuous healthcare services, and improving recovery efforts following cyber incidents within the healthcare sector.","Maryland Department of Emergency Management, Maryland Health Care Commission, Maryland Insurance Administration, and Maryland Department of Information Technology.","Healthcare entities in Maryland, including hospitals, medical facilities, health information exchanges, and insurance providers.","The bill aims to improve cybersecurity resilience in the healthcare sector, which could reduce the risk of operational disruptions and financial losses for small healthcare businesses.",7.0
2025 Regular Session,HB0334,Workgroup on Newborn Nurse Home Visiting Services - Establishment,"Establishing the Workgroup on Universal Newborn Nurse Home Visiting Services; requiring the Workgroup to compile updated participant data and expenditure per participant from the home visiting programs currently operating in the State, compare the data for home visiting programs to the data for evidence-based models, identify service gaps, and identify workforce needs; and requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly by December 31, 2025.","The bill establishes a statewide program in Maryland to provide universal nurse home visiting services to all families with newborns, aiming to support healthy child development, postpartum health, and family strengthening. It creates a workgroup to oversee and improve the program, and mandates insurance coverage and reimbursement for these services.",Maryland Department of Health,"Families with newborns in Maryland, healthcare providers, insurers, community organizations, and public health agencies.","The bill includes provisions for insurance coverage and reimbursement, which could help reduce financial barriers for providers and support the sustainability of small businesses involved in home visiting services.",7.0
2025 Regular Session,HB0337,State Lottery Fund - Laurel Race Course - Local Impact Aid,"Requiring the Comptroller, beginning in fiscal year 2026, to distribute from the State Lottery Fund $250,000 of supplemental local impact aid to Anne Arundel County, Howard County, and the City of Laurel from the proceeds of the Racetrax lottery game to be used for certain programs and services in the communities surrounding Laurel Race Course; specifying the purposes for and manner in which the supplemental local impact aid may be utilized; etc.","The bill allocates funds from the Maryland State Lottery to support local impact aid for Anne Arundel County, Howard County, and the City of Laurel, specifically related to the Laurel Race Course. It directs the use of these funds for community programs such as health, social services, and transportation, especially benefiting backstretch workers and residents near the race course.","Maryland State Comptroller and local governments of Anne Arundel County, Howard County, and the City of Laurel","Backstretch workers at Laurel Race Course, residents of Anne Arundel County, Howard County, and Laurel, and nonprofit organizations providing community services in these areas.",The bill does not directly address small business failure rates but provides community support and services that could indirectly benefit local businesses.,2.0
2025 Regular Session,HB0343,Motor Vehicles - Speed Monitoring Systems - Statements and Certificates of Violations,"Authorizing certain technicians to swear to and affirm, based on inspection of recorded images, the occurrence of violations recorded by speed monitoring systems; requiring law enforcement officers and technicians to complete a reasonable training specific to the speed monitoring system before certifying any certificates of violation; and defining ""reasonable training"" as a sufficient level of education, instruction, and practical experience to ensure competency in the inspection of images generated by speed monitoring systems.","The bill authorizes technicians to swear to violations recorded by speed monitoring systems, requires law enforcement and technicians to complete specific training before certifying violations, and makes related amendments to Maryland transportation law.","Law enforcement agencies and technicians trained in speed monitoring systems, overseen by local jurisdictions' program administrators.","Motor vehicle owners, law enforcement agencies, technicians, and local jurisdictions implementing speed monitoring systems.","The bill's impact on small business failure rates is minimal, as it primarily involves law enforcement and technical training rather than direct economic support or business operations.",2.0
2025 Regular Session,HB0344,Maryland Environmental Service - Membership of Board of Directors - Alterations,"Altering the composition of the Board of Directors of the Maryland Environmental Service to include the Secretary of Planning or a designee and, as nonvoting members, one member from the Senate of Maryland and one from the Maryland House of Delegates; and providing that certain provisions of law relating to terms of members of the Board do not apply to the Secretary of Planning, certain legislative members, and the Executive Director.","The bill amends the composition of the Maryland Environmental Service Board of Directors, replacing the State Treasurer with the Secretary of Planning or their designee, and clarifies the appointment process and terms for board members.",Maryland Department of Planning and the Maryland Environmental Service,"State government agencies, environmental management entities, and residents of Maryland, especially those in rural areas and private sector stakeholders involved in environmental services.","The bill does not directly address small business failure rates, but by clarifying governance and potentially improving environmental management, it may indirectly support a stable environment for small businesses.",3.0
2025 Regular Session,HB0345,Interstate Social Work Licensure Compact,Entering into the Social Work Licensure Compact for the purpose of authorizing regulated social workers who hold multistate licenses to practice social work in member states in order to improve public access to competent social work services; establishing requirements for multistate licensure; establishing the Social Work Licensure Compact Commission; providing for withdrawal from the Compact; and providing that the Act is contingent on the enactment of substantially similar legislation in six other states.,"The bill establishes Maryland's participation in the Interstate Social Work Licensure Compact, which allows regulated social workers with multistate licenses to practice across member states, aiming to improve public access, workforce mobility, and cooperation among states.",Maryland Department of Health and the Social Work Licensure Compact Commission,"Licensed social workers, clients receiving social work services, military families, and the general public in Maryland and other member states.","The program is designed to streamline licensing processes and reduce burdens for social workers practicing in multiple states, which could help small social work practices operate more efficiently and avoid failure due to licensing issues.",7.0
2025 Regular Session,HB0346,Baltimore City - Alcoholic Beverages - 43rd Alcoholic Beverages District - Class B-D-7 Licenses,"Authorizing the Board of License Commissioners for Baltimore City to issue additional B-D-7 beer, wine, and liquor licenses in certain areas of the 43rd alcoholic beverages district of Baltimore City if the license applicant meets certain criteria; and extending to July 1, 2026, an alcoholic beverages license issued for a certain area for the purpose of renewal.","The bill authorizes the Baltimore City Board of License Commissioners to issue new Class B–D–7 alcohol licenses in specific areas of the 43rd alcoholic beverages district, with certain criteria and conditions, and extends the renewal period for a license in the North Charles Street area.",Baltimore City Board of License Commissioners,"Alcohol license applicants, local businesses, and residents in the 43rd alcoholic beverages district of Baltimore City","The bill aims to support small businesses by allowing new licenses in specific areas and extending license renewal periods, which could help reduce business failures.",7.0
2025 Regular Session,HB0347,Real Property – Recordation and Land Records – Requirements,"Altering certain provisions relating to the filing, maintenance, and transmittal of land records; and defining ""land record"" as any document recorded by a clerk of the circuit court relating to property.","The bill updates and clarifies the procedures and requirements for recording, maintaining, and transmitting land records and related instruments affecting real property in Maryland, including deeds, mortgages, land plats, and notices of federal liens.",Clerk of the Circuit Court and the Supervisor of Assessments in each Maryland county.,"Property owners, buyers, sellers, mortgagees, land surveyors, and land record users in Maryland.","The bill streamlines land record procedures, which can reduce delays and errors in property transactions, potentially lowering the risk of small business failure related to property issues.",6.0
2025 Regular Session,HB0349,Prince George's County - Speed Monitoring Systems - Maryland Route 210 PG 306-25,Increasing the maximum civil penalties for violations recorded by speed monitoring systems on Maryland Route 210 (Piscataway Highway) in Prince George's County that involve exceeding the maximum speed limit by certain amounts.,"The bill increases the maximum civil penalties for speeding violations recorded by speed monitoring systems on Maryland Route 210 (Piscataway Highway) in Prince George's County, especially for exceeding the speed limit by certain amounts.",Maryland Department of Transportation or the relevant local transportation authority in Prince George's County.,"Motorists and residents in Prince George's County, especially those using Maryland Route 210.",The bill does not directly address small business failure; it focuses on traffic enforcement penalties.,1.0
2025 Regular Session,HB0350,Budget Bill (Fiscal Year 2026),"Making the proposed appropriations contained in the State Budget for the fiscal year ending June 30, 2026, in accordance with Article III, Section 52 of the Maryland Constitution; etc.","The bill is a comprehensive budget bill for fiscal years 2025 and 2026, detailing appropriations, reductions, and supplemental allocations across various state agencies, programs, and funds, including adjustments contingent on legislation and specific conditions.","The Department of Budget and Management is responsible for implementing the programs, overseeing allocations, and ensuring compliance with the appropriations and amendments.","The stakeholders impacted include state agencies, higher education institutions, local governments, nonprofit organizations, and Maryland residents who benefit from the programs and services funded by the appropriations.","The bill includes allocations and reductions that may impact small businesses, especially through grants, loans, and program support, but the direct impact on small business failure rates is not explicitly detailed.",4.0
2025 Regular Session,HB0351,"Creation of a State Debt - Maryland Consolidated Capital Bond Loan of 2025, and the Maryland Consolidated Capital Bond Loans of 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, and 2024","Authorizing the creation of a State Debt in the amount of $1,763,325,000, the proceeds to be used for certain necessary building, construction, demolition, planning, renovation, conversion, replacement, and capital equipment purchases of the State, for acquiring certain real estate in connection therewith, and for grants to certain subdivisions and other organizations for certain development and improvement purposes; etc.","The bill authorizes the creation of multiple state debt loans through bonds to fund various public projects across Maryland, including infrastructure, educational, health, cultural, and community development initiatives, with specific provisions for project oversight, matching funds, and project timelines.","The Board of Public Works, Maryland Department of Planning, Maryland Department of Public Safety and Correctional Services, Maryland Department of Health, Maryland Department of Natural Resources, Maryland Department of Transportation, Maryland Higher Education Commission, Maryland Department of Commerce, Maryland Department of the Environment, Maryland Department of Juvenile Services, Maryland Hospital Association, and other state agencies and local governments.","Residents of Maryland, local governments, educational institutions, health care providers, cultural organizations, community groups, and small businesses.","The bill allocates funds for community development, infrastructure, and business support programs, which can help improve economic stability and reduce small business failures.",7.0
2025 Regular Session,HB0352,Budget Reconciliation and Financing Act of 2025,"Establishing or altering certain administrative penalties; altering or repealing certain required appropriations; authorizing the use of certain funds for certain purposes; establishing certain funds; authorizing, requiring, or altering the distribution of certain revenue; altering the rates and rate brackets under the State income tax on certain income of individuals; requiring certain groups of corporations to file a combined income tax return reflecting the aggregate income tax liability of all members of the group; etc.","The bill is a comprehensive budget reconciliation and financing act that allocates funds for various state programs, including transportation, education, health, environmental, and economic development initiatives, and makes adjustments to tax laws and other fiscal policies.","The Maryland Department of Budget and Management, the Maryland Department of Transportation, the Maryland Department of Health, and other relevant state agencies are responsible for implementing the programs and allocations specified in the bill.","The residents of Maryland, small businesses, local governments, educational institutions, healthcare providers, environmental organizations, and specific populations such as veterans, students, and individuals involved in the criminal justice system are impacted by the bill.","The bill includes provisions that support small business development, such as grants, loans, and tax credits, which could help reduce small business failure rates, but the direct impact on failure reduction is not explicitly quantified.",4.0
2025 Regular Session,HB0360,Prince George's County - Community Associations - Registration Fees for Administrative Hearing Process PG 408-25,Altering the registration fee requirement for the Community Association Registry; permitting the County Executive to establish the registration fee; prohibiting a person or entity who fails to register from filing a dispute; and requiring the Prince George's County Office of Community Relations to provide revenue from annual community association registration fees to fund the administrative hearing process for disputes between community associations and owners in Prince George's County.,"The bill modifies the registration fee requirements for community associations in Prince George's County, allowing the County Executive to set the fee, and directs that revenue from these fees fund the administrative hearing process for disputes between community associations and owners. It also mandates registration for various types of community associations and management entities, and establishes the Prince George's County Office of Community Relations as responsible for managing the registry and fees.",Prince George's County Office of Community Relations,"Community associations, property owners, developers, and residents in Prince George's County","The bill's focus on managing registration fees and dispute resolution processes aims to streamline community association management and reduce conflicts, which can contribute to the stability and success of small community-based businesses and associations.",7.0
2025 Regular Session,HB0367,Health Occupations Boards - English Proficiency Requirements and Licensure by Endorsement for Nursing,"Prohibiting a health occupations board from requiring additional evidence of English proficiency as a condition for licensure, certification, or registration if an applicant holds a valid, unrestricted license, certification, or registration from another state that requires evidence of English proficiency; requiring each health occupations board that requires evidence of English proficiency to post a statement on their website that an applicant may not be required to provide additional evidence of proficiency; etc.","The bill prohibits health occupations boards in Maryland from requiring additional evidence of English proficiency for licensure if an applicant already holds a valid license from another state that requires English proficiency. It also mandates that these boards prominently display on their websites a list of states with similar requirements and updates the acceptable proof of English proficiency for nursing licensure, endorsement, and pharmacy licensing.","Maryland State health occupations boards, including the State Board of Nursing and the Board of Pharmacy.","Applicants seeking licensure in health occupations such as nursing and pharmacy, including those licensed in other states, and the general public receiving healthcare services.","The bill reduces barriers for licensed health professionals moving to Maryland, which can facilitate their employment and reduce delays in licensing, potentially decreasing small business failure related to staffing shortages.",7.0
2025 Regular Session,HB0372,Prince George's Gateway Development Authority - Sunset Repeal PG 403-25,Repealing the termination of certain provisions of law establishing the Prince George's Gateway Development Authority.,"The bill repeals the sunset clause that terminated certain provisions establishing the Prince George's Gateway Development Authority, thereby extending its authority and functions.",Prince George's Gateway Development Authority and the Maryland Department of Housing and Community Development.,"Residents, businesses, and communities within the target area of Mount Rainier, Brentwood, Cottage City, Bladensburg, Colmar Manor, and North Brentwood in Prince George's County.","The bill aims to support neighborhood revitalization and economic development, which could help reduce small business failures in the targeted communities.",7.0
2025 Regular Session,HB0375,"Bicycles, Play Vehicles, and Unicycles - Authorizations and Requirements (Jay's Law)","Authorizing a person to ride a bicycle, play vehicle, or unicycle on a sidewalk or sidewalk area unless prohibited by local ordinance; and requiring a person riding a bicycle, play vehicle, or unicycle on a sidewalk or sidewalk area or in or through a crosswalk to yield the right-of-way to a pedestrian or a person using an electric personal assistive mobility device.","The bill authorizes people to ride bicycles, play vehicles, or unicycles on sidewalks unless prohibited by local law, and requires riders on sidewalks or in crosswalks to yield to pedestrians and electric personal assistive mobility device users.",Maryland Department of Transportation or local transportation authorities,"Cyclists, pedestrians, and users of electric personal assistive mobility devices in Maryland",The bill does not directly impact small businesses or their failure rates.,1.0
2025 Regular Session,HB0376,Maryland Cybersecurity Council - Alterations,"Altering the selection of the membership and chair of the Maryland Cybersecurity Council; requiring beginning on October 1, 2025, and every 2 years thereafter, the Council to elect a chair and vice chair from among the members of the Council; requiring the Council, working with certain entities, to assess and address cybersecurity threats and associated risks from artificial intelligence and quantum computing; etc.","The bill establishes alterations to the Maryland Cybersecurity Council, including changes to its membership, selection process, and chair. It requires the Council to work with various entities to assess and address cybersecurity threats and risks from artificial intelligence and quantum computing, and to develop strategies for cybersecurity resilience.","Maryland Cybersecurity Council, working in collaboration with the Maryland State Government agencies and federal agencies.","Cybersecurity companies, higher education institutions, private sector businesses, government agencies, critical infrastructure sectors, and Maryland residents.","The bill's focus on cybersecurity and infrastructure resilience indirectly supports small businesses by enhancing overall cybersecurity defenses, but it does not specifically target small business failure reduction.",4.0
2025 Regular Session,HB0384,Maryland Disability Service Animal Program - Established,Establishing the Maryland Disability Service Animal Program in the Department of Disabilities to select one or more nonprofit training entities to participate in the Program and provide additional funding mechanisms to assist eligible individuals in the Program; requiring the Department to select at least one nonprofit training entity to develop and implement a training protocol and to select qualified participants; and establishing the Maryland Disability Service Animal Program Fund to pay a participating nonprofit training entity.,"The bill establishes the Maryland Disability Service Animal Program within the Department of Disabilities to assist eligible individuals with disabilities in training and partnering with service animals. It creates a fund to support the program, mandates the Department to select nonprofit training entities, and sets regulations for implementation.",Department of Disabilities,Individuals with disabilities in Maryland who could benefit from service animals,"The program supports nonprofit training entities that train service animals, which could help these organizations succeed and reduce their failure rate.",7.0
2025 Regular Session,HB0388,Vehicle Laws - Drunk and Drugged Driving - Points Assessments,Imposing assessments of 12 points for certain subsequent drunk and drugged driving violations.,"The bill increases the points assessed for subsequent drunk and drugged driving violations in Maryland, and establishes penalties for repeat offenders.",Maryland Motor Vehicle Administration (MVA) and the Maryland Judiciary,"Drivers in Maryland, especially those with prior violations of drunk and drugged driving laws",The bill does not directly impact small businesses or their failure rates.,1.0
2025 Regular Session,HB0389,"Property Tax - Day Care Centers, Child Care Homes, and Child Care Centers","Exempting personal property used in connection with certain large family child care homes from valuation and taxation; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or a municipal corporation to grant, by law, a property tax credit against the real property tax owed on the portion of real property used for certain large family child care homes; increasing the maximum amount of a property tax credit that may be granted for certain child care homes and centers and day care centers; etc.","The bill exempts personal property used in connection with large family child care homes from property valuation and taxes, and increases the maximum property tax credits available for day care centers and child care homes. It also allows local governments to grant property tax credits for certain day care facilities and improvements.","The local governments of Baltimore City, counties, and municipal corporations, specifically their legislative bodies responsible for granting property tax credits.","Large family child care homes, day care centers, child care homes, and the families and children who use these facilities.","The bill provides financial relief through property tax exemptions and credits for child care providers, which can help reduce operational costs and support the stability of small child care businesses.",7.0
2025 Regular Session,HB0390,Affordable Housing Payment In Lieu of Taxes Expansion Act,Authorizing an owner of real property used for rental housing and the governing body of a county to enter into a payment in lieu of taxes agreement for maintaining at least 25% of the rental housing units located at the real property as affordable dwelling units for at least 15 years; and authorizing the governing body of the county to require the owner of real property to maintain a higher percentage of rental housing units as affordable dwelling units than the minimum percentage specified in the Act.,"The bill expands the use of payment in lieu of taxes (PILOT) agreements for rental housing properties, allowing property owners and county governments to negotiate agreements where owners maintain at least 25% of units as affordable for at least 15 years in exchange for property tax exemptions.",County governments and property owners of rental housing,"Rental housing residents, property owners, and local governments in Maryland","The bill could potentially reduce small business failure by encouraging affordable rental housing development, which can stabilize communities and reduce financial burdens on tenants and owners.",6.0
2025 Regular Session,HB0397,Maryland Agricultural and Resource-Based Industry Development Corporation - Oyster Shucking House Loan Program,"Altering a certain loan program to authorize the Maryland Agricultural and Resource-Based Industry Development Corporation to provide loans in an amount up to $25,000 for certain seasonal full-time jobs; and reducing, from 5 years to 3 years, the number of years that a person must have been a licensed seafood dealer in order to be eligible to receive financing under the loan program.","The bill modifies the Maryland Oyster Shucking House Loan Program to allow loans up to $250,000 for seafood processing projects, with specific provisions for creating or retaining seasonal full-time jobs, and reduces the eligibility requirement for licensed seafood dealers from 5 years to 3 years.",Maryland Agricultural and Resource–Based Industry Development Corporation,"Seafood dealers, oyster shucking businesses, and communities involved in oyster processing and restoration in Maryland.","The bill provides financial support and incentives for seafood processing businesses, which can help reduce the risk of failure for small businesses in this sector.",7.0
2025 Regular Session,HB0402,Anne Arundel County Board of Education - Student Member Scholarship - Increase,"Increasing the scholarship award for a student member of the Anne Arundel County Board of Education who completes a full term on the county board from $8,000 to $15,000.","The bill increases the scholarship award for a student member of the Anne Arundel County Board of Education who completes a full term from $8,000 to $15,000.",Anne Arundel County Board of Education and the Maryland State Department of Education,Student members of the Anne Arundel County Board of Education and students in higher education in Maryland,The bill does not directly impact small business failure rates.,1.0
2025 Regular Session,HB0406,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Appointment of Hearing Aid Dispenser Members","Altering the appointment process for licensed hearing aid dispenser members of the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists by requiring the Board to notify all licensed hearing aid dispensers in the State of the vacancy and to solicit nominations to fill the vacancy.","The bill modifies the appointment process for the Maryland State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech–Language Pathologists, and Music Therapists, including changes to the composition and appointment procedures of the Board.","Maryland State Department of Health or the Maryland State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech–Language Pathologists, and Music Therapists.","Licensed audiologists, hearing aid dispensers, speech-language pathologists, and music therapists practicing in Maryland.","The bill's impact on small business failure rates is minimal, as it primarily concerns appointment procedures for licensing boards.",2.0
2025 Regular Session,HB0409,Anne Arundel County - Board of License Commissioners - Part-Time Deputy Chief Inspector - Compensation,"Increasing the annual salary of a part-time deputy chief inspector employed by the Board of License Commissioners for Anne Arundel County from $9,000 to $18,000.","The bill increases the annual salary of a part-time deputy chief inspector employed by the Board of License Commissioners for Anne Arundel County from $9,000 to $18,000.",The Board of License Commissioners for Anne Arundel County,"The Board of License Commissioners for Anne Arundel County, part-time inspectors, and the local government of Anne Arundel County","The bill does not directly impact small business failure rates, as it pertains to salaries of inspectors.",1.0
2025 Regular Session,HB0411,State Designations – State Mineral – Chromite (State Mineral Act),"Designating chromite, which reflects the nature of Maryland's rich mining history and vast mineral resources, as the State mineral.","This bill designates chromite as the official state mineral of Maryland, recognizing its historical significance and presence in the state's mining history.",Maryland Department of Natural Resources or relevant state agency responsible for state symbols and mineral resources.,"Residents of Maryland, especially those interested in the state's history, mining industry, and natural resources.",The bill does not directly address small business failure or include programs aimed at reducing failure rates among small businesses.,1.0
2025 Regular Session,HB0412,Elections - Local Boards of Elections - Open Meeting Requirements (Local Boards of Elections Transparency Act),"Requiring each local board of elections to make available on its website each open meeting agenda, a summary of any finalized documents, certain written testimony, and other materials on which the  board will be voting; requiring each local board to provide live video streaming of each open meeting and to maintain a complete and unedited archived video recording of each open meeting for 5 years; requiring the State Board of Elections to adopt regulations to ensure that the streaming requirements are met in a certain manner; etc.","The bill establishes enhanced open meeting requirements for local boards of elections in Maryland, including public availability of meeting agendas, live video streaming of meetings, and maintaining archived recordings for at least 5 years.",Maryland State Board of Elections,"Voters, candidates, political parties, and organizations involved in elections in Maryland","The bill does not directly address small business failure rates, but it promotes transparency and accountability in election processes.",1.0
