Bill Number,Title,Status,Synopsis,Cross-filed bill,File codes,Subjects
HB0388,Vehicle Laws - Drunk and Drugged Driving - Points Assessments,Returned Passed,Imposing assessments of 12 points for certain subsequent drunk and drugged driving violations.,,Vehicle Laws - Drunk Driving|Vehicle Laws - Licensing and Regulation,Drunk and Drugged Driving|Fines -see also- Penalties and Sentences|Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.|Motor Vehicle Operation|Penalties and Sentences -see also- Death Penalty
HB0389,"Property Tax - Day Care Centers, Child Care Homes, and Child Care Centers",Returned Passed,"Exempting personal property used in connection with certain large family child care homes from valuation and taxation; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or a municipal corporation to grant, by law, a property tax credit against the real property tax owed on the portion of real property used for certain large family child care homes; increasing the maximum amount of a property tax credit that may be granted for certain child care homes and centers and day care centers; etc.",SB0516,Taxes - Property|Children,Baltimore City|Child Care|Counties -see also- Chartered Counties; Code Counties; etc.|Exemptions|Laws and Ordinances -see also- Pub Local Laws; Uniform Laws|Local Government Mandates|Municipal Corporations -see also- Annap; Balt; Hager; OC|Personal Property|Property Tax|Real Property|Tax Credits
HB0390,Affordable Housing Payment In Lieu of Taxes Expansion Act,Returned Passed,Authorizing an owner of real property used for rental housing and the governing body of a county to enter into a payment in lieu of taxes agreement for maintaining at least 25% of the rental housing units located at the real property as affordable dwelling units for at least 15 years; and authorizing the governing body of the county to require the owner of real property to maintain a higher percentage of rental housing units as affordable dwelling units than the minimum percentage specified in the Act.,SB0327,Taxes - Property|Housing and Community Development,Baltimore City|Counties -see also- Chartered Counties; Code Counties; etc.|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Landlords and Tenants|Leases and Rent|Low-Income|Property Tax|Real Property|Time
HB0397,Maryland Agricultural and Resource-Based Industry Development Corporation - Oyster Shucking House Loan Program,Returned Passed,"Altering a certain loan program to authorize the Maryland Agricultural and Resource-Based Industry Development Corporation to provide loans in an amount up to $25,000 for certain seasonal full-time jobs; and reducing, from 5 years to 3 years, the number of years that a person must have been a licensed seafood dealer in order to be eligible to receive financing under the loan program.",SB0363,Economic Development,"Industry and Technology|Loans -see also- Credit; Mortgages; Scholarships&SFA|Meat, Poultry, Seafood -see also- Clams; Crabs; Food; Oyster|Oysters|Public Corporations and Instrumentalities -see also- HBE|Restaurants|Revenue and Taxes -see also- (specific tax)|Time|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0402,Anne Arundel County Board of Education - Student Member Scholarship - Increase,Approved by the Governor - Chapter 7,"Increasing the scholarship award for a student member of the Anne Arundel County Board of Education who completes a full term on the county board from $8,000 to $15,000.",SB0307,Education - Local Bills,"Anne Arundel County|Education, Boards of|Education -see also- ContEd; DrvEd; HigherEd; etc.|Local Government Mandates|Scholarships and Student Financial Aid|Students"
HB0406,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Appointment of Hearing Aid Dispenser Members",Returned Passed,"Altering the appointment process for licensed hearing aid dispenser members of the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists by requiring the Board to notify all licensed hearing aid dispensers in the State of the vacancy and to solicit nominations to fill the vacancy.",,"State Government - Agencies, Offices, and Officials","Art, Music, and Cultural Affairs -see also- EthAff; Mus; etc|Audiologists and Speech Pathologists|Committees and Commissions|Governor|Health Occupations -see also- (specific health occupations)|Hearing Aids|Notices|Public Officials -see also- Atty Gen; Compt; Coun Admin; etc|Rehabilitation"
HB0409,Anne Arundel County - Board of License Commissioners - Part-Time Deputy Chief Inspector - Compensation,Returned Passed,"Increasing the annual salary of a part-time deputy chief inspector employed by the Board of License Commissioners for Anne Arundel County from $9,000 to $18,000.",SB0568,Alcoholic Beverages - Local Bills,"Alcoholic Beverages - By Subdivision|Anne Arundel County|License Commissioners, Boards of|Salaries and Compensation -see also- Overtime; Reimb. Rates|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0411,State Designations â State Mineral â Chromite (State Mineral Act),Returned Passed,"Designating chromite, which reflects the nature of Maryland's rich mining history and vast mineral resources, as the State mineral.",SB0764,"State Government - Agencies, Offices, and Officials",Precious Metals and Stones|State Symbols
HB0412,Elections - Local Boards of Elections - Open Meeting Requirements (Local Boards of Elections Transparency Act),Returned Passed,"Requiring each local board of elections to make available on its website each open meeting agenda, a summary of any finalized documents, certain written testimony, and other materials on which the  board will be voting; requiring each local board to provide live video streaming of each open meeting and to maintain a complete and unedited archived video recording of each open meeting for 5 years; requiring the State Board of Elections to adopt regulations to ensure that the streaming requirements are met in a certain manner; etc.",SB0337,Elections,Committees and Commissions|Disclosure|Elections|Elections Supervisors|Internet -see also- Internet Access|Meetings -see also- Hearings; Open Government|Notices|Open Government|Public Information|Records -see also- Land Records; Vital Records|Storage|Time|Video
HB0413,Criminal Law - Controlled Dangerous Substances and Firearms,Returned Passed,"Authorizing a person who is at least 21 years of age to manufacture a personal use amount of cannabis products or concentrated cannabis for personal use or adult sharing at a private residence if the manufacturing process does not involve the use of a volatile solvent; specifying that manufacturing, distributing, dispensing, or possessing certain large quantities of certain controlled dangerous substances is a felony; altering the penalties for being a volume dealer and drug kingpin with regard to cannabis; etc.",SB0925,Criminal Law - Substantive Crimes|Cannabis,Age of Majority (18+)|Cannabis -see also- CannDist; CannProd; Smok&Vap|Cannabis Production|Controlled Dangerous Substances -see also- Drugs; Opioids|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Dealers -see also- Motor Vehicle Dealers and Salespeople|Guns|Hazardous and Toxic Substances -see also- Asbestos; Radiatn|Hearings|Incarcerated Individuals|Industry and Technology|Notices|Penalties and Sentences -see also- Death Penalty|Registration -see also- Motor Vehicle Registration|Weights and Measures
HB0415,State Library Agency - Family Literacy Pilot Program - Establishment,Returned Passed,"Establishing the Family Literacy Pilot Program administered by the State Library Agency in consultation with the Department of Public Safety and Correctional Services and the Correctional Education Council to enable certain incarcerated individuals to read aloud to their children by preparing a recording; and requiring the State Library Agency to submit a certain report on or before December 1, 2028.",SB0378,Education - Miscellaneous|Public Safety|Corrections|Children,"Correctional Institutions -see also- Patuxent Institution|Education -see also- ContEd; DrvEd; HigherEd; etc.|Incarcerated Individuals|Libraries -see also- Archives|Literacy|Parents and Guardians|Pilot Programs|Public Safety and Correctional Services, Department of|Recordings -see also- Video|Reports|Rules and Regulations|Sunset"
HB0420,Education and Health - Emergency Use Epinephrine - Alterations,Returned Passed,"Altering the defined term ""auto-injectable epinephrine"" to be ""emergency use epinephrine"" and to include certain drug delivery devices and products; and altering the name of the Emergency Use Auto-Injectable Epinephrine Program to be the Emergency Use Epinephrine Program.",SB0459,Public Health|Health Occupations|Education - Miscellaneous,Certifications|Drugs -see also- Cannabis; ControlDangSubst; Pharm; etc.|Education -see also- ContEd; DrvEd; HigherEd; etc.|Emergencies -see also- Pandemics|Federal Government|Health -see also- COVID19; EnvHlth; MedCon; etc.|Medical Conditions -see also- AIDS; COVID-19; rabies|Medical Equipment and Devices|Medical Treatments|Public Schools -see also- Primary Schools; Secondary Sch|Reports
HB0421,Public Safety - 9-1-1 Trust Fund - 9-8-8 Suicide Prevention Hotline,Approved by the Governor - Chapter 13,"Authorizing the use of the 9-1-1 Trust Fund for certain expenditures that support the 9-8-8 suicide prevention hotline; and altering a certain restriction on the use of the 9-1-1 Trust Fund to prohibit funds from being used for expenses solely related to the 9-8-8 suicide prevention hotline, instead of preventing the use of funds for any costs associated with the 9-8-8 suicide prevention hotline.",SB0036,Public Safety,Death -see also- Homicide; Murder; Wrongful Death|Emergency Services -see also- Ambul; Emergencies; etc.|Job Training -see also- Continuing Ed; Vocational Rehab|Revenue and Taxes -see also- (specific tax)|Telecommunications and Information Technology|Telephones
HB0423,Public Safety - Maryland 9-1-1 Board and Maryland Department of Emergency Management - Regulatory Authority,Approved by the Governor - Chapter 16,Authorizing the Maryland 9-1-1 Board to adopt regulations to implement and enforce certain responsibilities of the Board; and authorizing the Maryland Department of Emergency Management to adopt regulations to implement and enforce the responsibilities of the Department.,SB0138,Public Safety,"Committees and Commissions|Emergency Management, Department of|Emergency Services -see also- Ambul; Emergencies; etc.|Rules and Regulations"
HB0424,Prescription Drug Affordability Board - Authority and Stakeholder Council Membership (Lowering Prescription Drug Costs for All Marylanders Now Act),Passed Enrolled,"Altering the membership of the Prescription Drug Affordability Stakeholder Council; requiring the Prescription Drug Affordability Board, under certain circumstances, to establish a process for setting upper payment limits for purchases and payor reimbursements of prescription drug products that the Board determines have led or will lead to affordability challenges; authorizing the Board to reconsider an upper payment limit for a drug that becomes a current shortage; and altering requirements related to the setting of upper payment limits.",SB0357,Public Health|Health - Insurance,Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Committees and Commissions|Consumer Protection|Drugs -see also- Cannabis; ControlDangSubst; Pharm; etc.|Fees -see also- Attys' Fees; Devt Fees & Taxes|Health -see also- COVID19; EnvHlth; MedCon; etc.|Industry and Technology|Medical Assistance|Notices|Prices -see also- Consumer Price Index|Reimbursement Rates|Reports|Revenue and Taxes -see also- (specific tax)|Sunset
HB0425,Natural Resources - State Boat Act - Auctioneers,Returned Passed,Exempting certain auctioneers from certain provisions of the State Boat Act.,SB0023,Natural Resources - Generally,Agents and Brokers|Auctions|Boats and Ships|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Natural Resources -see also- Coal; For&Pks; Rivers; etc.
HB0426,Election Law - Postelection Tabulation Audits - Risk-Limiting Audits,Passed Enrolled,"Requiring the State Board of Elections, in collaboration with the local boards of elections, to conduct a risk-limiting audit after each statewide election; authorizing the State Board, in collaboration with the local boards, to conduct a risk-limiting audit after a special general election; authorizing the State Board, in collaboration with the local boards, to conduct an automated software audit after a statewide election; authorizing a local board to conduct a risk-limiting audit of a local contest under certain circumstances; etc.",SB0313,Elections,"Auditors and Audits|Ballots -see also- Abs&MailInBallots; Abs&MailInVoting|Counties -see also- Chartered Counties; Code Counties; etc.|Elections|Elections Supervisors|Elections, State Board of|Electronic Government|Internet -see also- Internet Access|Open Government|Public Information|Records -see also- Land Records; Vital Records|Reports|Rules and Regulations|Telecommunications and Information Technology|Voting -see also- Absentee and Mail-In Voting"
HB0427,State Board of Public Accountancy - Emeritus Status,Returned Passed,Authorizing the State Board of Public Accountancy to place a licensee on emeritus status under certain circumstances; and requiring the Board to reinstate the license of an individual who is on emeritus status under certain circumstances.,SB0148,Business Occupations and Professions,"Accountants|Classifications and Designations|Committees and Commissions|Forms|Interstate Affairs|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Notices|Retirement -see also- Mandatory Retirement|Time|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0428,Medical Debt - Complaints for Money Judgment and Real Property Liens,Returned Passed,"Establishing certain requirements for a complaint for a money judgment; defining ""medical debt"" as a debt owed by a consumer to a provider of medical services, products, or devices, but does not include debt charged to a credit card except under certain circumstances; prohibiting the creation of a lien on owner-occupied residential property by contract or as a result of a breach of contract for the payment of medical debt; and applying the Act prospectively.",SB0349,Real Property|Civil Actions and Procedures,Circuit Courts|Contracts -see also- Procurement|Courts -see also- AppCt; Circuit; District; Orphans'; etc.|Damages|Debt Collection -see also- Attachments and Garnishments|Debt Management|Health -see also- COVID19; EnvHlth; MedCon; etc.|Judgments|Liens|Medical Equipment and Devices|Medical Treatments|Real Property|Residential Property -see also- Apartments; Condominiums
HB0431,Consumer Protection - Consumer Contracts - Limitation Periods,Passed Enrolled,Prohibiting a consumer contract from setting a shorter time to bring an action under or on the consumer contract than required by the law of the State; excluding certain entities from the application of this Act; and applying the Act prospectively.,SB0413,Civil Actions and Procedures|Commercial Law - Consumer Protection,Civil Actions -see also- Small Claims|Civil Offenses|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Consumer Protection|Contracts -see also- Procurement|Courts -see also- AppCt; Circuit; District; Orphans'; etc.|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Leases and Rent|Liability|Penalties and Sentences -see also- Death Penalty|Statutes of Limitation|Time|Unfair Trade Practices
HB0436,Vehicle Laws - Medical Exemption for Enhanced Tinted Windows - Time Limitation,Returned Passed,Repealing the 2-year time limitation on medical exemptions for enhanced tinted windows for vehicle owners with certain permanent medical conditions.,SB0707,Vehicle Laws - Equipment and Inspections|Vehicle Laws - Rules of the Road,Certifications|Medical Conditions -see also- AIDS; COVID-19; rabies|Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.|Motor Vehicle Operation
HB0437,Criminal Law - Visual Surveillance With Prurient Intent - Modifications,Returned Passed,"Altering the definition of ""private place"" as it relates to the prohibition on conducting visual surveillance with prurient intent of an individual without the consent of the individual to include a residence; and altering the prohibition against conducting visual surveillance with prurient intent.",SB0348,Criminal Law - Substantive Crimes,Electronic Surveillance -see also- Wiretapping|Privacy|Residential Property -see also- Apartments; Condominiums
HB0438,Civil Actions - Tortious Injury to or Death of Pet - Compensatory Damages (Buddy's Law),Returned Passed,"Increasing from $10,000 to $25,000 the maximum amount of compensatory damages that may be awarded to an owner of a pet from a person who tortiously causes an injury to or death of the pet while acting individually or through an animal under the person's ownership, direction, or control.",SB0581,Civil Actions and Procedures,Civil Actions -see also- Small Claims|Damages|Death -see also- Homicide; Murder; Wrongful Death|Domestic Animals -see also- Birds; Dogs|Injury
HB0442,Criminal Procedure - Victims and Witnesses - Out of Court Statement of Child to Forensic Interviewer,Returned Passed,Expanding the evidentiary rule on the admissibility of out of court statements made by child victims or witnesses to make admissible an out of court statement made by a child to a forensic interviewer.,SB0333,Criminal Law - Procedures,Child Abuse and Neglect|Children (4-12)|Evidence|Forensics|Juvenile Justice and Delinquency|Sexual Offenses|Testimony -see also- Witnesses|Victims -see also- Criminal Injuries Compensation|Violence -see also- Domestic Violence; Hate Crimes|Witnesses
HB0443,Baby Food Labeling - Statement Regarding Toxic Heavy Metal Testing - Terminology,Returned Passed,"Altering the statement that must be included on a baby food product label if the baby food product has been tested for toxic heavy metals for the purpose of changing the term included on the label from ""toxic heavy metal"" to ""toxic element"".",,Public Health,"Chemical Tests|Consumer Protection|Disclosure|Federal Government|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Hazardous and Toxic Substances -see also- Asbestos; Radiatn|Health -see also- COVID19; EnvHlth; MedCon; etc.|Industry and Technology|Infants and Toddlers (0-3)|Internet -see also- Internet Access|Labeling|Public Information|Safety -see also- Occupational Safety"
HB0445,Criminal Law - Interference With a Public Safety Answering Point - Penalties,Passed Enrolled,"Prohibiting a person from taking certain actions with the intent to interrupt or impair the functioning of a public safety answering point; and providing that a person who violates the Act is guilty of a felony and on conviction is subject to imprisonment not to exceed 5 years or a fine of up to $25,000 or both.",SB0081,Criminal Law - Substantive Crimes,Crimes and Punishments -see also- Penalties and Sentnc; etc.|Cybersecurity|Emergency Services -see also- Ambul; Emergencies; etc.|Penalties and Sentences -see also- Death Penalty|Telecommunications and Information Technology
HB0446,Natural Resources - Invasive Blue Catfish Pilot Program,Returned Passed,"Establishing the Invasive Blue Catfish Pilot Program in the Department of Natural Resources to curb the spread of the invasive blue catfish in the Chesapeake Bay and its tributaries; requiring the Department to expand the use of practices determined to be effective under the Program; and requiring the Department to report to the Governor and the General Assembly by December 1, 2025, on its findings and recommendations based on the Pilot Program.",SB0186,Hunting and Fishing,"Boundaries|Chesapeake Bay -see also- Chesapeake Bay Restoration|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Committees and Commissions|Emergency Bills|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Fishing Nets and Devices|Invasive Species -see also- Animals; Insects; Plants|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Natural Resources -see also- Coal; For&Pks; Rivers; etc.|Natural Resources, Department of|Pilot Programs|Reports|Rules and Regulations|Sunset"
HB0447,"Anne Arundel County â Property Tax Credit â Habitat for Humanity of the Chesapeake, Incorporated",Returned Passed,"Altering the name of Arundel Habitat for Humanity, Inc., to be Habitat for Humanity of the Chesapeake, Incorporated, for purposes of a certain property tax credit against the county or municipal corporation tax imposed on the entity; and authorizing the tax credit for any real property owned by the entity.",SB0178,Taxes - Property - Local,Anne Arundel County|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Municipal Corporations -see also- Annap; Balt; Hager; OC|Names|Property Tax|Real Property|Tax Credits
HB0448,Modernization of Military Laws Act,Returned Passed,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; requiring the Secretary of Veterans and Military Families to develop certain policies related to life transitions of veterans, service members, and military families; and altering the application of certain provisions of law related to veterans, the uniformed services, and the filing of certificates of candidacy, the powers of the Governor, State veterans' cemeteries, and housing and employment discrimination.",SB0275,"State Government - Agencies, Offices, and Officials|Elections|Human Relations|Bi-County Agencies","Armed Forces -see also- Military Department; Veterans|Cemeteries|Civil Rights and Social Equity|Dependents -see also- Minors; Vulnerable Adults|Discrimination|General Assembly -see also- AELR Cmte; LegislativePolCmte|Governor|Group Homes -see also- Foster Care; JuvFacil; SubsAbTrt|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Legislative Services, Department of|Military Families|Political Candidates|Public Benefits -see also- FoodStmps; Housing; MedAsst|Recruitment and Hiring|Reports|Service Animals|Spouses|State Employees|Veterans and Military Families, Department of|Veterans|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0450,Maryland Transit Administration - Disability Reduced Fare Program - Renewal for Permanently Disabled Individuals,Returned Passed,Requiring the Maryland Transit Administration to automatically renew the Disability Reduced Fare Program certification of an enrollee who is permanently disabled.,,Transportation - Generally,Administrative Agencies|Disabilities|Mass Transit -see also- Buses; Railroads|Prices -see also- Consumer Price Index|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|Transportation -see also- Aircraft; Airports; Boats; etc
HB0452,Outdoor Lighting - Guidance and Use of State Funds,Returned Passed,"Requiring the Maryland Green Building Council, on or before October 1, 2026, to update or develop guidance for the purchase of outdoor lighting fixtures in consideration of certain recommendations; prohibiting State funds from being used to install or replace certain permanent outdoor luminaires for lighting unless certain requirements are met; altering the requirements for the use of State funds for the installation or replacement of certain permanent outdoor luminaires for lighting; applying the Act prospectively; etc.",,Environment|Energy and Climate|Public Safety,"Committees and Commissions|Energy Matters -see also- Fuel; NuclearMatt; PwrPlnts; etc.|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Forests and Parks -see also- MdNatlCapPkPlnCm; Plants; etc.|Public Works, Board of|Revenue and Taxes -see also- (specific tax)|Standards and Best Practices|Street Lights|Studies -see also- Commitees & Commissions; Reports|Transportation, Department of|Transportation -see also- Aircraft; Airports; Boats; etc"
HB0453,Anne Arundel County - Development Impact Fees,Returned Passed,Altering the scope of certain limitations on the authority of the Anne Arundel County Council to grant exemptions from or credits against development impact fees.,SB0572,Counties - Local Laws|Taxes - Miscellaneous - Local,Anne Arundel County|Construction|County Councils|Development Fees and Taxes|Education -see also- ContEd; DrvEd; HigherEd; etc.|Exemptions|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Laws and Ordinances -see also- Pub Local Laws; Uniform Laws|Nonprofit Organizations
HB0455,Braille Flag Memorial Act of 2025,Returned Passed,"Requiring the Department of Veterans and Military Families to designate a location for an American braille tactile flag to be placed on the grounds of one or more State veterans' cemeteries to honor members of the uniformed services, veterans, and other individuals in the State who are blind or visually impaired.",SB0085,"State Government - Agencies, Offices, and Officials","Accessibility - see also- Blind; Deaf; Disabilities; etc|Blind and Low Vision|Cemeteries|Language -see also- Communications; Literacy|Monuments and Memorials|State Symbols|Veterans and Military Families, Department of|Veterans"
HB0458,"University of Maryland, College Park Campus - TerpsEXCEED Program - Funding",Returned Passed,"Authorizing the Governor to include in the annual budget bill, beginning in fiscal year 2027, an appropriation of $350,000 to the University of Maryland, College Park Campus TerpsEXCEED (EXperiencing College through Education and Employment Discovery) Program to provide educational and employment opportunities to students with intellectual disabilities.",SB0603,Higher Education|Disabled,"Administrative Agencies|Appropriations|Budgets -see also- Capital Budgets|Cognitive Disabilities|Communications -see also- ElecComm; Intergov; Telecom; etc.|Developmental Disabilities|Education -see also- ContEd; DrvEd; HigherEd; etc.|Governor|Higher Education -see also- Comm Colleges; Med Schools; etc.|Job Training -see also- Continuing Ed; Vocational Rehab|Mentors|Revenue and Taxes -see also- (specific tax)|Scholarships and Student Financial Aid|State Universities and Colleges|Students|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0459,"Counties - Cancer Screening for Professional Firefighters - Required Coverage (James ""Jimmy"" Malone Act)",Returned Passed,"Requiring counties that offer self-insured employee health benefit plans to provide to firefighters employed by the county coverage for preventive cancer screenings in accordance with certain guidelines; authorizing a county to satisfy the requirement by providing a no-cost annual examination or applying for a grant to pay for certain cancer screening technologies; prohibiting counties from imposing a copayment, coinsurance, or deductible requirement; and requiring the Maryland Health Commission to conduct a certain study.",SB0374,Health - Insurance|Public Health|Local Government - Generally|State Government - Pensions and Retirement,"Budget and Management, Department of|Counties -see also- Chartered Counties; Code Counties; etc.|Data -see also- Census; Demographics|Ethics|Fire Protection|Grants|Health Care Commission|Health Insurance -see also- ACA; HMOs; MCOs|Health Maintenance Organizations -see also- Manage Care Orgs|Local Government Mandates|Medical Conditions -see also- AIDS; COVID-19; rabies|Medical Testing and Diagnosis|Municipal Corporations -see also- Annap; Balt; Hager; OC|Nonprofit Organizations|Prices -see also- Consumer Price Index|Reports|Standards and Best Practices|State Employees|Studies -see also- Commitees & Commissions; Reports|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0463,Vehicle Laws - Motor Vehicle Administration - 3-Hour Roadway Safety Driving Education Program - Requirements,Returned Passed,Altering the requirements of the 3-hour Roadway Safety Driving Education Program established by the Motor Vehicle Administration for certain applicants for driver's licenses; and requiring the Administration to adopt regulations establishing criteria for certifying a private entity to offer the 3-hour Roadway Safety Education Program.,SB0471,Vehicle Laws - Rules of the Road,Curriculum|Driver Education|Drivers' Licenses|Motor Vehicle Administration|Motor Vehicle Operation|Safety -see also- Occupational Safety|Transportation -see also- Aircraft; Airports; Boats; etc
HB0466,Health Equality for Service Members Act,Returned Passed,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; and altering the application of certain provisions of law governing public health, the regulation of health occupations, and housing vouchers and assistance to apply to all uniformed services, rather than only the armed forces.",SB0277,"State Government - Agencies, Offices, and Officials|Public Health|Health Occupations|Housing and Community Development","Armed Forces -see also- Military Department; Veterans|Discipline|Health -see also- COVID19; EnvHlth; MedCon; etc.|Health, Department of|Health Occupations -see also- (specific health occupations)|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Reports|Rules and Regulations|Veterans"
HB0469,Local Government - Annapolis and Anne Arundel County Conference and Visitors Bureau Designation,Returned Passed,"Altering references to the Annapolis and Anne Arundel County Conference and Visitors Bureau to be Visit Annapolis and Anne Arundel County, Inc.",SB0050,Counties - Local Laws,Annapolis|Anne Arundel County|Auditors and Audits|Names|Reports|Revenue and Taxes -see also- (specific tax)|Tourism -see also- Agritourism
HB0470,"Vehicle Laws - Obscured, Modified, or Blocked Registration Plates and Registration Plate Covers",Returned Passed,"Prohibiting a person from obscuring or modifying any vehicle registration plate in a manner that may prevent identification and enforcing the prohibition as a secondary offense; prohibiting a person from advertising for or promoting the sale of an unlawful registration plate cover by falsely claiming that the registration plate cover is lawful in the State; and establishing that a violation of the Act is an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalties.",SB0322,Vehicle Laws - Rules of the Road,Advertising|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Identification -see also- Biometrics; Fingerprinting; DrLics|Law Enforcement -see also- SRO; Sheriffs; State Police|License Plates -see also- Motor Vehicle Registration|Motor Vehicle Registration|Transportation -see also- Aircraft; Airports; Boats; etc|Unfair Trade Practices
HB0472,Baltimore City - Alcoholic Beverages - 45th Alcoholic Beverages District - Licenses,Returned Passed,"Authorizing the Board of License Commissioners for Baltimore City to issue a Class C beer, wine, and liquor license in a certain area of the 45th alcoholic beverages district in Baltimore City under certain circumstances; and altering a geographic boundary in the 45th district within which the holder of a Class A or Class B-D-7 beer, wine, and liquor license must operate in accordance with specified hours.",SB0304,Alcoholic Beverages - Local Bills,"Alcoholic Beverages Distribution|Alcoholic Beverages Licenses|Alcoholic Beverages - By Subdivision|Associations -see also- Cooperative Associations|Baltimore City|Boundaries|Contracts -see also- Procurement|License Commissioners, Boards of|Time"
HB0473,Maryland Community College Promise Scholarship Program - Revisions,Returned Passed,Altering the number of years that a recipient of an award under the Maryland Community College Promise Scholarship Program may hold the award under certain circumstances.,SB0269,Higher Education,Apprentices|Certifications|Community Colleges|Education -see also- ContEd; DrvEd; HigherEd; etc.|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Scholarships and Student Financial Aid|Time
HB0475,Transportation Equality for Service Members Act,Returned Passed,"Establishing rules of interpretation related to the uniformed services; altering the rule of interpretation for ""veteran""; and altering the application of certain provisions of law governing transportation to apply to all uniformed services, rather than only certain uniformed services.",SB0281,"State Government - Agencies, Offices, and Officials|Vehicle Laws - Miscellaneous",Armed Forces -see also- Military Department; Veterans|Federal Government|Motor Vehicle Administration|Rules and Regulations|Transportation -see also- Aircraft; Airports; Boats; etc|Veterans
HB0476,St. Mary's County - Alcoholic Beverages - Class A License Quota,Returned Passed,Altering the quota for the number of Class A alcoholic beverages licenses that may be issued in the 8th election district in St. Mary's County.,,Alcoholic Beverages - Local Bills,Alcoholic Beverages Licenses|Alcoholic Beverages - By Subdivision|Demographics -see also- Census; Data|St. Mary's County
HB0477,State Department of Education - Family Child Care Homes and Child Care Centers - Regulatory Analysis,Passed Enrolled,"Requiring the State Department of Education to conduct a thorough analysis of the State's regulatory framework for child care facilities with particular emphasis on regulations that limit a person's ability to register a child care facility, receive a license to operate a child care center, or operate a child care facility in a profitable manner while providing quality care; and requiring an interim and final report be submitted to the Governor and the General Assembly by January 1, 2026, and September 1, 2026, respectively.",,Education - Miscellaneous,"Child Care|Committees and Commissions|Early Childhood Education|Education -see also- ContEd; DrvEd; HigherEd; etc.|Education, State Department of|Infants and Toddlers (0-3)|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Reports|Rules and Regulations|Studies -see also- Commitees & Commissions; Reports|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0478,Hagerstown Community College Police Force - Jurisdiction,Passed Enrolled,Authorizing a Hagerstown Community College police officer to exercise powers granted to a peace and police officer under certain circumstances.,SB0504,Community Colleges - Local Bills|Public Safety,Community Colleges|Contracts -see also- Procurement|Hagerstown|Jurisdiction|Law Enforcement -see also- SRO; Sheriffs; State Police|Threats|Washington County
HB0480,St. Maryâs County â County Plans â Public Sewerage Systems and Water Supply Systems,Returned Passed,Applying certain provisions relating to the adoption of or revision or amendment to a county plan to county plans in St. Mary's County; and repealing certain provisions relating to public sewerage systems and water supply systems in St. Mary's County.,,Local Government - Generally|Environment,"County Commissioners|Hearings|Open Government|Sewage|St. Mary's County|Wastewater|Water -see also- Coastal Bays; Riv,Str,Lks; Wastewater; etc.|Zoning and Planning"
HB0481,Washington County - Board of License Commissioners - Membership,Returned Passed,Requiring that certain numbers of members of the Board of License Commissioners for Washington County belong to certain political parties based on the aggregated number of votes in the preceding election of the Board of County Commissioners.,SB0503,Alcoholic Beverages - Local Bills,"Alcoholic Beverages - By Subdivision|Elections|License Commissioners, Boards of|Political Parties|Washington County"
