YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2024 Regular Session,HB0481,Natural Resources - Antlerless Deer Hunting Programs - Authorization,Authorizing a person to receive a raffle ticket for each antlerless deer hunted by the person during a certain raffle program that has as its objective the hunting of antlerless deer.,"The bill authorizes a person to receive a raffle ticket for each antlerless deer they hunt during a specific January raffle program aimed at hunting antlerless deer, provided the program has been held at least once between January 1, 2020, and January 30, 2024.",Maryland Department of Natural Resources,Deer hunters and hunting communities in Maryland,"The bill does not directly impact small business failure rates, as it pertains to hunting regulations and raffle programs.",1.0
2024 Regular Session,HB0486,Residential Property Sales - Contract Disclosures - Superfund Sites,"Requiring the seller of residential real property located within 1 mile of a National Priorities List (NPL) Superfund site to provide the buyer with an addendum to the contract for the sale of the property that contains the identification of the Superfund site, the definition of an NPL Superfund site, web addresses for certain websites, and a notice that the buyer may void the contract of sale within 5 days after signing and dating the contract of sale.","The bill requires sellers of residential properties within 1 mile of a Superfund site to include a disclosure addendum in the sale contract, informing buyers of the site's location, risks, and their right to void the contract within 5 days.",Maryland Department of the Environment,Homebuyers and residents near Superfund sites in Maryland,The bill primarily impacts real estate transactions and does not directly target small business failure rates.,1.0
2024 Regular Session,HB0490,Income Tax - Subtraction Modification for Donations to Diaper Banks and Other Charitable Entities - Sunset Extension,"Extending the termination date applicable to a subtraction under the Maryland income tax for certain donations to diaper banks and other charitable entities; and applying the Act to all taxable years beginning after December 31, 2020, but before January 1, 2027.","The bill extends the sunset date for the Maryland income tax subtraction modification for donations to diaper banks and other charitable entities, allowing taxpayers to subtract up to $1,000 of donations to qualified organizations from their taxable income.",Maryland Comptroller's Office,"Taxpayers who donate to diaper banks and charitable organizations, and the organizations that benefit from these donations.","The bill's impact on small business failure rates is minimal, as it primarily provides tax benefits for individual donors and charitable organizations.",2.0
2024 Regular Session,HB0495,Education - Baltimore County School Board Nominating Commission - Publishing and Meetings Requirements,Requiring the Baltimore County School Board Nominating Commission to publish the names of the candidates for appointment to the Baltimore County Board of Education on the Commission's website before interviewing the candidates; requiring meetings of the Commission that involve action on a candidate for appointment to the county board to be public; and requiring certain meetings of the Commission to be held without the public in attendance and recorded and for the recording to be provided within 48 hours of receiving a request for the recording.,"The bill requires the Baltimore County School Board Nominating Commission to publish candidate names online before interviews, hold public meetings, record meetings involving candidate interviews, and make recordings available upon request, enhancing transparency in the candidate selection process.",Baltimore County School Board Nominating Commission,Candidates for the Baltimore County Board of Education and the general public interested in the candidate selection process.,The bill does not directly address small business failure; its focus is on transparency in school board candidate selection.,1.0
2024 Regular Session,HB0496,Criminal Law - Sexual Crimes - Definition of Consent and Repeal of Force,"Requiring certain facts to be considered when determining whether a lack of consent exists for the purposes of determining certain sexual crimes; altering the elements of second-degree rape to remove the requirement of use of force or threat of force; and requiring the Maryland Judiciary to report to the General Assembly, beginning October 1, 2024, and each October 1 thereafter, certain data for the preceding calendar year, disaggregated by county and offender age, race, and sex.","The bill updates Maryland's laws on sexual crimes by clarifying the definition of consent, considering words and conduct, and specifying circumstances that do or do not constitute consent. It also revises the elements of second-degree rape, mandates annual reporting of sexual offense data by the judiciary, and repeals the use of force as an element of certain sexual crimes.",Maryland Judiciary and Maryland State Law Enforcement agencies,"Individuals involved in or affected by sexual crimes, including victims, offenders, and the general public",The bill does not directly address small businesses or their failure rates.,1.0
2024 Regular Session,HB0497,Hunting - Nonresident Sika Deer Stamp - Fee Alteration,Altering the fee for nonresident sika deer stamps from $25 to $200.,"The bill increases the fee for a nonresident sika deer hunting stamp from $100 to $200, effective July 1, 2024.",Maryland Department of Natural Resources,Nonresident hunters interested in sika deer hunting in Maryland,This bill does not directly impact small business failure rates.,1.0
2024 Regular Session,HB0498,Real Property - Access to Counsel in Evictions Program - Mandated Reports,"Altering the information relating to the Access to Counsel in Evictions Program required to be reported by the Maryland Legal Services Corporation each year to include disaggregation by case type, the amount paid to attorneys for each case managed, the geographic distribution of cases, the disposition of cases decided, the amount of State and federal funds allocated to each designated organization, and the number of individuals provided legal representation for multiple cases.","The bill requires the Maryland Legal Services Corporation (MLSC) to annually report detailed data on the access to legal representation for individuals facing eviction, including case types, outcomes, and funding details, for a period of approximately three years.",Maryland Legal Services Corporation (MLSC),"Tenants facing eviction and their households in Maryland, legal service providers, and housing authorities.","The bill primarily targets tenants and legal service providers, and does not directly impact small business failure rates.",1.0
2024 Regular Session,HB0499,Health Occupations - Private Dental Offices - Infection Control,Requiring each owner of a private dental office to designate a licensed dentist to be the supervising dentist for the private dental office; requiring a supervising dentist to complete the registration required by the State Board of Dental Examiners and be responsible for all infection control activities within the private dental office; authorizing the Board to charge a fee for the registration of a supervising dentist under the Act; etc.,"The bill requires owners of private dental offices in Maryland to designate a licensed dentist as the supervising dentist responsible for infection control activities, and establishes regulations for registration and oversight.",Maryland State Board of Dental Examiners,"Owners and operators of private dental offices, licensed dentists, and patients receiving dental care in Maryland","By establishing clear regulations and registration requirements for infection control oversight, the bill aims to support the stability and compliance of private dental practices, potentially reducing failures.",7.0
2024 Regular Session,HB0501,Charter Counties - Enforcement of Local Laws,"Increasing from $1,000 to $5,000 the maximum amount of a civil or criminal fine that may be imposed by a charter county to enforce certain local laws enacted by the county.","The bill increases the maximum civil and criminal fines that charter counties in Maryland can impose to enforce local laws from $1,000 to $5,000.",Charter counties' enforcement agencies or local government authorities,Residents and businesses within charter counties affected by local law enforcement and enforcement agencies,The bill's increase in fines is unlikely to have a direct impact on small business failure rates.,1.0
2024 Regular Session,HB0504,Department of Planning - Maryland Humanities Council - Appropriation to the Marilyn Hatza Memorial Strengthening the Humanities Investment in Nonprofits for Equity (SHINE) Grantmaking Initiative,"Authorizing the Governor to include in the annual budget bill an appropriation of $1,000,000 each year to the Department of Planning to be used as a grant to the Maryland Humanities Council for the Marilyn Hatza Memorial Strengthening Humanities Investment in Nonprofits for Equity (SHINE) Grantmaking Initiative; and requiring the Maryland Humanities Council to select, award, and report on grants to qualifying nonprofit organizations under the SHINE Grantmaking Initiative.","The bill authorizes the Maryland Governor to include a $1,000,000 annual appropriation in the state budget to fund the Maryland Humanities Council's SHINE Grantmaking Initiative, which provides grants to small and mid-sized nonprofit organizations in the humanities, arts, cultural, and educational sectors.",Maryland Humanities Council and the Department of Planning,"Small and mid-sized nonprofit organizations in the humanities, arts, cultural, and educational sectors in Maryland","The program aims to support nonprofit organizations, which can help stabilize and sustain their operations, potentially reducing failure rates among these organizations.",6.0
2024 Regular Session,HB0506,Sexual Harassment Prevention Training - Morgan State University and St. Mary's College of Maryland - Training Format,"Providing that a certain required sexual harassment prevention training for employees of Morgan State University and St. Mary's College of Maryland may consist of webinar, computer-based, or online training if the training includes a certain evaluative component.","The bill updates sexual harassment prevention training requirements for employees at Morgan State University and St. Mary's College of Maryland, allowing the training to be conducted via webinar, computer-based, or online formats under certain conditions, and specifies the inclusion of evaluative components.",Morgan State University and St. Mary's College of Maryland,Employees of Morgan State University and St. Mary's College of Maryland,"The bill is focused on higher education institutions and does not directly address small businesses, so its impact on small business failure rates is minimal.",1.0
2024 Regular Session,HB0507,Allegany and Garrett Counties - Property Tax - Credit for Construction of Housing,"Authorizing the governing bodies of Allegany County and Garrett County and municipal corporations located in Allegany County and Garrett County to grant, by law, a property tax credit on certain newly constructed dwellings; prohibiting the tax credit from exceeding $10,000; and applying the Act to all taxable years beginning after June 30, 2024.","The bill authorizes property tax credits for newly constructed, unoccupied residential dwellings in Allegany and Garrett Counties that have specific features like sprinkler systems, on-site sewage disposal, or broadband internet. It also establishes a state income tax credit for developers building more than 10 middle-income homes in these counties, with the aim of incentivizing housing development.",Department of Housing and Community Development,"Homebuyers, developers, and residents in Allegany and Garrett Counties","The bill provides incentives for housing development, which can stimulate local economies and support small businesses involved in construction and related industries, potentially reducing small business failure rates.",7.0
2024 Regular Session,HB0508,Children - Labor Trafficking,"Altering the definition of ""abuse"" to include labor trafficking of a child by any individual for purposes of provisions of law governing children in need of assistance cases and child abuse and neglect reporting; expanding provisions of law relating to the Safe Harbor Regional Navigator Grant Program to apply to child victims of labor trafficking; and requiring the Department of Human Services to include labor trafficking in its annual report on child sex trafficking to the Governor and the General Assembly.","The bill expands Maryland law to include labor trafficking of children as a form of abuse, modifies procedures for child protection cases, and enhances services and coordination for child victims of labor trafficking through the Safe Harbor Regional Navigator Grant Program.",Maryland Department of Human Services and local departments of social services,"Children in Maryland, especially victims of labor trafficking, and child protection agencies",The bill does not directly address small business failure rates; its focus is on child protection and trafficking services.,1.0
2024 Regular Session,HB0510,Business Facade Improvement Program - Eligible Funding Recipients,Expanding the eligible recipients of funding provided by the Department of Housing and Community Development under the Business Facade Improvement Program to include community development organizations that serve at least one sustainable community and apply for funds.,"The bill expands the Business Facade Improvement Program to include community development organizations as eligible recipients of funding, in addition to political subdivisions, to help improve the exterior appearance of buildings in sustainable communities.",Department of Housing and Community Development,"Businesses located in sustainable communities, community development organizations, and residents of those communities.","By providing funding to improve the exterior of business buildings, the program aims to support small businesses and reduce their failure rate.",7.0
2024 Regular Session,HB0512,Natural Resources - Fish and Fisheries - Reporting Requirements,Requiring certain persons licensed or regulated with respect to fish and fisheries by the Department of Natural Resources to submit reports in accordance with regulations adopted by the Department.,The bill mandates that individuals and businesses involved in fishing and dealing with fish resources in Maryland must submit reports to the Department of Natural Resources according to regulations adopted by the Department. It also requires license holders to keep accurate records and submit reports as required.,Department of Natural Resources,"Fishers, fish dealers, and licensed anglers in Maryland","By establishing clear reporting requirements and record-keeping standards, the bill aims to streamline compliance and reduce uncertainties for small fishing businesses, potentially decreasing failure rates.",7.0
2024 Regular Session,HB0513,Motor Vehicles - Work Zone Speed Control Systems - Revisions (Maryland Road Worker Protection Act of 2024),Altering the distribution of revenue from civil fines collected through the use of work zone speed control systems; altering the highways on which a work zone speed control system may be used; clarifying that a system operator does not need to be present when a work zone speed control system is in use; altering the maximum penalty for a civil citation issued as a result of an image from a work zone speed control system; requiring the State Highway Administration to make a certain report; etc.,"The bill revises regulations and funding allocations related to work zone speed control systems in Maryland, including expanding their use, clarifying operational rules, increasing penalties for violations, and establishing reporting requirements for pilot programs and fund expenditures.",Maryland State Highway Administration and Department of State Police,"Motorists, highway workers, and the general public using Maryland highways, especially in work zones","The bill's impact on small business failure rates is minimal, as it primarily focuses on traffic enforcement and safety funding rather than direct support for small businesses.",2.0
2024 Regular Session,HB0515,Workgroup to Study the Fiscal and Operational Viability of Public-Private Partnerships for Calvert County Public Schools,"Establishing a Workgroup to Study the Fiscal and Operational Viability of Public-Private Partnerships for Calvert County Public Schools; and requiring the Workgroup to report its findings and recommendations to the Board of Calvert County Commissioners, the Calvert County Board of Education, the Interagency Commission on School Construction, and the Calvert County Delegation on or before December 31, 2024.","The bill establishes a Workgroup to study the fiscal and operational viability of public-private partnerships for Calvert County Public Schools, including their potential to reduce costs for school construction and maintenance.",Calvert County Board of Education and the Calvert County Commissioners,"Calvert County Public Schools, students, parents, and local government officials in Calvert County","The bill's focus on public-private partnerships may encourage small business involvement in school construction and maintenance, potentially reducing failure rates by providing new opportunities.",7.0
2024 Regular Session,HB0520,State Real Estate Commission - Complaints - Advertising Violations,Providing that a complaint filed with the State Real Estate Commission alleging an advertising violation may be made anonymously but must be accompanied by documentary or other evidence.,"The bill amends the procedures for filing complaints with the Maryland State Real Estate Commission, specifically allowing complaints alleging advertising violations to be made anonymously and without oath, provided they are accompanied by evidence.",Maryland State Real Estate Commission,Real estate professionals and consumers in Maryland,"By clarifying complaint procedures and allowing anonymous complaints with evidence, the bill aims to improve oversight and accountability, which could help small real estate businesses avoid unfair disciplinary actions and improve their reputation.",6.0
2024 Regular Session,HB0522,"Public Schools - Student Telehealth Appointments - State Guidelines, Policies, and Access","Requiring, by December 31, 2024, the State Department of Education and the Maryland Department of Health jointly to adopt certain State guidelines for school health services regarding student access to telehealth appointments during the school day on the premises of public middle and high schools in the State; and requiring each county board of education to adopt and implement a certain student telehealth policy before the start of the 2025-2026 school year.","The bill requires Maryland's Department of Education and Department of Health to develop guidelines for student access to telehealth appointments during the school day in middle and high schools. It mandates each school to designate a private space for telehealth and to implement policies to facilitate access, privacy, and safety, with a focus on equity and legal considerations.",Maryland Department of Education and Maryland Department of Health,"Students in public middle and high schools, their parents, school personnel, and healthcare providers involved in student health services.","The bill does not directly address small business failure rates, but by establishing clear guidelines and support for telehealth in schools, it may indirectly support healthcare providers and related small businesses involved in telehealth services.",2.0
2024 Regular Session,HB0528,Orphans' Court Judges - Restriction on Practicing Law,"Altering a prohibition on judges of the orphans' court acting as attorneys to prohibit a judge of the orphans' court from acting as an attorney in matters related to the administration of an estate or a guardianship of a minor within the jurisdiction of the court in any county or Baltimore City, or the preparation of an estate plan or estate planning documents that might come within the jurisdiction of the court in any county or Baltimore City following the death of any individual.",The bill restricts judges of the orphans' court in Maryland from acting as attorneys in matters related to estate administration or guardianships of minors during their term of office.,Maryland orphans' court system and the Maryland Judiciary,"Judges of the orphans' court, estate and guardianship parties, and the general public involved in estate matters",The bill does not directly address small business failure; it focuses on judicial conduct in estate and guardianship cases.,1.0
2024 Regular Session,HB0531,Correctional Services – Parole Supervision Fees and Drug and Alcohol Abuse Test Payment – Repeal,Repealing the requirement for the Maryland Parole Commission to assess a fee against an individual on parole and supervised by the Division of Parole and Probation under certain circumstances; and repealing  authorization for the Division of Parole and Probation to require a supervisee of the Division who is on parole to pay for certain drug or alcohol abuse testing under certain circumstances.,The bill repeals the requirement for the Maryland Parole Commission to assess supervision fees against individuals on parole and to require supervisees to pay for drug and alcohol testing under certain circumstances.,Division of Parole and Probation within the Maryland Department of Public Safety and Correctional Services,"Individuals on parole and their dependents, parole supervision agencies, and the Maryland criminal justice system","The bill's provisions are unlikely to have a direct impact on small business failure rates, as it primarily concerns parole supervision fees and drug testing payments.",1.0
2024 Regular Session,HB0534,Community Development Administration - Live Near Your School Program - Extension,"Extending the termination date for the Live Near Your School program and a related homebuyer program from September 30, 2024, to September 30, 2030.","The bill extends the Live Near Your School program, which provides grants to help students and recent graduates buy homes near their educational institutions, and allocates funding for it from 2026 through 2030.",Community Development Administration,Current students and recent graduates of public institutions of higher education in Maryland,The bill does not directly address small business failure rates; it focuses on housing and community development programs.,1.0
2024 Regular Session,HB0538,Land Use – Affordable Housing – Zoning Density and Permitting (Housing Expansion and Affordability Act of 2024),Establishing the Historic Property Revitalization Director as a position in the Department of Housing and Community Development; prohibiting a local legislative body from prohibiting the placement of certain manufactured homes or modular dwellings in a zoning district that allows single-family residential uses under certain circumstances; requiring local jurisdictions to allow an increase in density of certain qualified projects in certain districts or zones for certain properties; etc.,"The Housing Expansion and Affordability Act of 2024 aims to increase housing density, support affordable housing projects, and streamline land use regulations, including protections for historic properties and restrictions on local bans of certain manufactured homes.","Department of Housing and Community Development, specifically the Historic Property Revitalization Director and local planning and zoning authorities.","Residents seeking affordable housing, local governments, historic property owners, and developers of qualified housing projects.","The bill's provisions to streamline permitting and increase density for affordable housing projects are likely to reduce barriers for small developers, potentially lowering small business failure rates in the housing sector.",7.0
2024 Regular Session,HB0539,Public Institutions of Higher Education - Student Withdrawal Policy - Reimbursement of Tuition and Fees (Cameron Carden Act of 2024),Requiring each public institution of higher education to adopt a policy to authorize a student to withdraw from the institution under extenuating circumstances and to refund the student for tuition and fees paid by the student for a certain semester under certain circumstances.,"The bill requires Maryland public colleges and universities to adopt policies allowing students to withdraw under extenuating circumstances such as illness, injury, hospitalization, or mental health issues, and to refund tuition and fees paid for the semester in which they withdraw due to these circumstances.",Public institutions of higher education in Maryland,"Students attending public colleges and universities in Maryland, especially those facing extenuating circumstances affecting their ability to continue their education",This bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0541,Anne Arundel County - Student Loan Assistance Repayment Program for Educators - Established,"Establishing the Anne Arundel County Student Loan Assistance Repayment Program for Educators to assist in the repayment of certain student loans owed by educators who meet certain eligibility requirements; providing that the purpose of the Program is to attract, recruit, and retain a diverse cadre of qualified educators in the County's schools that is reflective of the student population; establishing requirements for applicants for assistance in the repayment of a commercial loan; etc.","The bill establishes the Anne Arundel County Student Loan Assistance Repayment Program for Educators, which provides loan repayment assistance to qualified educators employed by the Anne Arundel County Public School System, to attract and retain diverse and qualified teaching staff.",The Anne Arundel County Public School System,"Educators employed by the Anne Arundel County Public School System, especially those with student loans and who meet the program's eligibility criteria.",The program is focused on supporting educators and does not directly impact small business failure rates.,1.0
2024 Regular Session,HB0542,Department of Human Services - Children in Foster Care - Luggage,"Requiring the Department of Human Services to establish and maintain a decentralized supply of new luggage to be used to transport the personal belongings of a child in foster care; requiring the Department to provide new luggage to a child in foster care who is entering foster care, moving from one placement to another, or exiting foster care; prohibiting the Department from using disposable bags or trash bags to transport a child's belongings; and requiring the Department to maintain certain records.","The bill requires the Maryland Department of Human Services to establish a supply of new, unused luggage for children in foster care, to be used for transporting their personal belongings. It prohibits the use of disposable or trash bags for this purpose and mandates record-keeping and annual reporting on luggage use.",Maryland Department of Human Services,Children in foster care in Maryland,The bill does not directly address small businesses or their failure rates.,0.0
2024 Regular Session,HB0544,"Criminal Law - Sexual Extortion, Stalking, and Revenge Porn - Statute of Limitations and In Banc Review","Altering the statute of limitations applicable to the crime of sexual extortion to be 5 years; altering the statute of limitations applicable to the crime of stalking to be 10 years; providing that the State may institute a prosecution for revenge porn at any time; and providing that, for purposes of the Maryland Constitution, a person who commits revenge porn shall be deemed to have committed a misdemeanor whose punishment is confinement in the penitentiary and may reserve a point or question for a certain in banc review.","The bill extends the statute of limitations for prosecuting sexual extortion and stalking, removes the time limit for prosecuting revenge porn, and clarifies legal procedures and penalties related to these crimes.",Maryland Department of Public Safety and Correctional Services and the Maryland Judiciary,"Victims of sexual extortion, stalking, and revenge porn; law enforcement agencies; legal professionals; the general public","The bill does not directly impact small business failure rates, as it primarily addresses criminal statutes and procedures.",1.0
2024 Regular Session,HB0545,Janet L. Hoffman Loan Assistance Repayment Program - Nancy Grasmick Public School Professional Award - Public School Nurses,"Expanding the Nancy Grasmick Public School Professional Award within the Janet L. Hoffman Loan Assistance Repayment Program to include public school nurses who are licensed as registered nurses, provide health services in public schools, and are employed by a county school system or a local health department to provide health services through an agreement with a county board.","The bill expands the Janet L. Hoffman Loan Assistance Repayment Program to include public school nurses, providing loan repayment assistance to help recruit and retain nurses in Maryland public schools.",Office of Student Financial Assistance,"Public school nurses, public school students, and the public education system in Maryland.","The bill does not directly impact small business failure rates, as it focuses on loan repayment for public school professionals.",1.0
2024 Regular Session,HB0548,Task Force on Responsible Use of Natural Psychedelic Substances,"Establishing the Task Force on Responsible Use of Natural Psychedelic Substances to study existing laws, scientific data, and practices related to the use of natural psychedelic substances; requiring the Task Force to make recommendations regarding any changes to State law, policies, and practices needed to create a program that enables broad, equitable, and affordable access to psychedelic substances; and requiring the Task Force to report its findings to the Governor and the General Assembly on or before July 31, 2025.","The bill establishes a Task Force on Responsible Use of Natural Psychedelic Substances to study laws, science, and policies related to natural psychedelic substances, and to make recommendations for creating a Maryland program that ensures safe, equitable, and responsible access and use.","The Maryland Cannabis Administration, with support from the Maryland Department of Health and other state agencies.","Researchers, healthcare providers, patients, Native American tribes, law enforcement, policymakers, and residents interested in the medical, spiritual, or recreational use of natural psychedelic substances.","The bill includes recommendations for the regulation, production, sale, and taxation of natural psychedelic substances, which could create new business opportunities and reduce barriers for small businesses involved in this industry.",7.0
2024 Regular Session,HB0552,Vehicle Laws - Automated Enforcement Citations and Notices - Mailing Addresses,"Requiring that citations and notices issued as a result of automated enforcement under the Maryland Vehicle Law be sent to the current mailing address on file with the Administration or if a mailing address is not available, the current residential address on file with the Administration.","The bill mandates that all citations and notices issued through automated enforcement systems in Maryland must be sent to the current mailing address on file with the Maryland Motor Vehicle Administration, or the current residential address if the mailing address is unavailable.",Maryland Motor Vehicle Administration and law enforcement agencies responsible for automated enforcement systems.,Vehicle owners in Maryland who are subject to automated enforcement citations and notices.,The bill primarily affects vehicle owners and enforcement agencies; it does not directly impact small business failure rates.,1.0
2024 Regular Session,HB0557,Sales and Use Tax Exemption - Aircraft Parts and Equipment - Repeal of Reporting Requirement and Extension of Sunset,"Repealing a certain reporting requirement relating to an exemption from the sales and use tax for certain materials, parts, and equipment used to repair, maintain, or upgrade aircraft or certain aircraft systems; and extending the termination date of the exemption to June 30, 2030.","The bill extends the exemption from sales and use tax for materials, parts, and equipment used in aircraft repair, maintenance, or upgrades, and repeals the reporting requirement related to this exemption.",Maryland Comptroller's Office,"Aircraft repair and maintenance businesses, aircraft owners, and the aviation industry in Maryland","The bill's extension of tax exemptions and removal of reporting requirements could reduce costs and administrative burdens for small businesses involved in aircraft maintenance, potentially lowering failure rates.",7.0
2024 Regular Session,HB0561,Tree Expert Licenses - Application and Renewal Fee Alterations and Insurance Requirements,"Specifying the maximum amounts of fees for a tree expert license established by the Department of Natural Resources by regulation; authorizing the Department to permanently revoke or temporarily suspend a tree expert license if the license holder fails to maintain liability, property, or workers' compensation insurance in a certain manner; and requiring the Department to prepare an annual report on the number of licenses issued and certain receipts and expenses and submit the report to the General Assembly by November 1 each year.","The bill updates licensing requirements for tree experts in Maryland, including mandating proof of workers' compensation insurance, setting application and renewal fees, and establishing procedures for license suspension or revocation for non-compliance.",Maryland Department of Natural Resources,"Tree experts, tree care businesses, and consumers in Maryland","The bill's provisions for clear licensing, insurance requirements, and renewal processes aim to support responsible business practices, potentially reducing small business failures related to legal or insurance issues.",7.0
2024 Regular Session,HB0562,Special Chesapeake Bay and Coastal Sport Fishing License - Nonresidents - License Fee,Increasing the license fee for a special Chesapeake Bay and coastal sport fishing license for nonresident license applicants from $50 to $100.,"The bill increases the fee for a special Chesapeake Bay and coastal sport fishing license for nonresidents from $50 to $100, and clarifies licensing provisions for fishing in Maryland waters.",Maryland Department of Natural Resources,Nonresident sport fishers and boat owners fishing in Chesapeake Bay and Maryland coastal waters,"The bill does not directly impact small business failure rates, as it primarily involves licensing fees for recreational fishing.",1.0
2024 Regular Session,HB0565,Correctional Services - Investigation of Suspected Homicide - Reporting,"Requiring the Department of State Police to investigate any death of an incarcerated individual suspected to be a homicide that occurs while the individual is in the custody of the Division of Correction whether within or outside a correctional facility; and requiring the Department, by December 31 each year, to report to the Governor and the General Assembly the number of investigations completed and the number of cases referred by the Department for prosecution for the preceding calendar year.","The bill establishes the Maryland Deaths in Custody Oversight Board within the Governor's Office of Crime Prevention, Youth, and Victim Services to analyze and make recommendations regarding deaths of incarcerated individuals. It requires the Department of Public Safety and Correctional Services to provide information and report on investigations of such deaths, and mandates the Department of State Police to investigate suspected homicides of incarcerated individuals and publish investigation data.","The Maryland Deaths in Custody Oversight Board within the Governor’s Office of Crime Prevention, Youth, and Victim Services, along with the Department of Public Safety and Correctional Services and the Department of State Police.","Incarcerated individuals, their families, correctional facility staff, justice reform organizations, and the general public interested in prison oversight and safety.",The bill does not directly address small businesses or their failure rates.,0.0
2024 Regular Session,HB0567,Maryland Online Data Privacy Act of 2024,"Establishing generally the manner in which a controller or a processor may process a consumer's personal data; authorizing a consumer to exercise certain rights in regards to the consumer's personal data; requiring a controller of personal data to establish a method for a consumer to exercise certain rights in regards to the consumer's personal data; making a violation of the Act an unfair, abusive, or deceptive trade practice that is subject to enforcement and penalties under the Maryland Consumer Protection Act; etc.","The Maryland Online Data Privacy Act of 2024 establishes regulations for how controllers and processors handle consumers' personal data, grants consumers rights to access, delete, and control their data, and requires data protection assessments for high-risk processing activities. It also sets enforcement provisions and penalties for violations.",Maryland Division of Consumer Protection,Residents of Maryland whose personal data is processed by businesses and online platforms,"The bill aims to improve consumer trust and data security, which can help small businesses by reducing legal risks and enhancing reputation, but it does not directly target small business failure rates.",4.0
2024 Regular Session,HB0569,Higher Education - Credit Eligibility and Transfer of Credits - English as a Second Language Courses (Credit for All Language Learning (CALL) Act),Requiring a public community college to consider a course or program for English as a second language or English language learner as eligible for world language or humanities credit toward an associate's degree if the course is not classified as remedial; requiring the transferability of world language credits earned by students who transfer from community colleges to institutions of higher education; and requiring institutions of higher education to review and consider the transfer of certain credits for language or humanities courses.,"The bill requires Maryland public community colleges to consider certain language courses, including English as a Second Language (ESL), as eligible for academic credit toward an associate's degree. It also mandates that credits earned for language or humanities courses at community colleges be transferable to other higher education institutions, including private nonprofit colleges, and prohibits these institutions from denying such transfers.",Maryland Higher Education Commission and public community colleges,"Students attending community colleges and other higher education institutions in Maryland, especially those taking language or humanities courses",The bill primarily focuses on education credit transfer policies and does not directly impact small business failure rates.,1.0
2024 Regular Session,HB0571,Family and Medical Leave Insurance Program - Modifications,"Modifying provisions of law governing application, administration, and enforcement of the Family and Medical Leave Insurance Program, including provisions related to the payment of contributions, the calculation of the average weekly wage, the submission of claims for benefits, the application of the Program to self-employed individuals, the Family and Medical Leave Insurance Fund, the satisfaction of Program requirements through private employer plans or insurance, and the use of contributions or other funding.","The bill modifies Maryland's Family and Medical Leave Insurance Program, including how contributions are paid, how wages are calculated, and how claims are submitted. It expands coverage to self-employed individuals, establishes the Family and Medical Leave Insurance Fund, and sets rules for private employer plans and enforcement.","Maryland Department of Labor, specifically the Secretary of Labor and the Department of Labor's Family and Medical Leave Insurance Program administration.","Employees, self-employed individuals, employers, and their families in Maryland who may need family or medical leave benefits.","The bill provides options for private employer plans and sets clear regulations, which could help small businesses manage costs and compliance, potentially reducing their risk of failure.",7.0
2024 Regular Session,HB0573,Citizens Committee for the Enhancement of Communities Surrounding Baltimore-Washington International Thurgood Marshall Airport - Membership,Altering the membership of the Citizens Committee for the Enhancement of Communities Surrounding Baltimore-Washington International Thurgood Marshall Airport by increasing the total number of members from 11 to 12 and requiring the Committee to include one member each from legislative districts 12A and 12B instead of one member from legislative district 12.,"The bill amends the membership structure of the Citizens Committee for the Enhancement of Communities Surrounding Baltimore–Washington International Thurgood Marshall Airport, increasing the number of members from 11 to 12 and specifying the appointment process and districts involved.","The Maryland Department of Transportation, specifically the Secretary of Transportation, is responsible for appointing the committee members.","Community associations located within or near the noise zone around Baltimore–Washington International Thurgood Marshall Airport, including residents and local organizations.",The bill does not directly address small business failure or include programs aimed at reducing small business failure rates.,1.0
2024 Regular Session,HB0575,Criminal Procedure - Victim Compensation - Alterations (Victim Compensation Reform Act of 2024),"Altering the composition of the Criminal Injuries Compensation Board; altering certain duties, powers, and procedures for the Board to make awards to victims of crime; altering the powers and duties of certain employees; altering the amount and types of awards the Board is authorized to make to certain victims of crime; authorizing reconsideration and judicial review of decisions of the Board; authorizing the Governor to include certain funding in the annual budget bill for the Criminal Injuries Compensation Fund; etc.","The bill reforms the Maryland Criminal Injuries Compensation Board by changing its composition, duties, and procedures for awarding compensation to crime victims. It also updates the funding, eligibility, and award limits for victims, and introduces provisions for reconsideration and judicial review of decisions.","The Criminal Injuries Compensation Board within the Governor’s Office of Crime Prevention, Youth, and Victim Services.","Crime victims and their dependents in Maryland, including individuals suffering physical or psychological injuries from crimes.","The bill primarily impacts crime victims and the criminal justice system, with no direct provisions targeting small business failure reduction.",1.0
2024 Regular Session,HB0576,Mental Health - Assisted Outpatient Treatment Programs,"Authorizing each county to establish an assisted outpatient treatment program by July 1, 2026; requiring the Maryland Department of Health to establish an assisted outpatient treatment program in a county that does not opt to establish the program by July 1, 2026; requiring the Office of the Public Defender to provide representation in assisted outpatient treatment proceedings; etc.","The bill establishes procedures for emergency mental health evaluations, involuntary admissions, and introduces assisted outpatient treatment programs in Maryland, including court processes, treatment plans, and oversight.",Maryland Department of Health and local behavioral health authorities or core service agencies.,"Individuals with severe mental illness, mental health providers, and the criminal justice system.",The bill's focus is on mental health treatment and court procedures; it does not directly address small business failure rates.,1.0
