YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2024 Regular Session,HB0420,State and Local Parks - Play Area Accessibility - Recreation Communication Boards Pilot Program,"Requiring the Department of Natural Resources and local governing bodies to construct communication boards in certain newly constructed public play areas; defining ""communication board"" as a device that displays photos, symbols, or illustrations to enable individuals with limited language skills to communicate; establishing the Maryland Recreation Communication Boards Pilot Program, subject to funding, to improve play area accessibility by covering the cost of purchasing and installing communication boards at State and local parks; etc.","The bill establishes the Maryland Recreation Communication Boards Pilot Program to improve accessibility in public play areas by constructing communication boards that display photos, symbols, or illustrations for individuals with limited language skills. It authorizes funding for the program, requires the construction of communication boards in new and altered play areas, and sets reporting requirements.",True,2024,2028,100000.0,Department of Natural Resources,Children and individuals with limited language skills using public play areas,The program has a moderate potential to impact access to capital for small businesses involved in manufacturing or installing communication boards.,5.0
2024 Regular Session,HB0424,Montgomery County - Housing Opportunities Commission - Alterations MC 3-24,Repealing the requirement that the Housing Opportunities Commission of Montgomery County hold public hearings on assisted family housing proposals; and repealing the requirement that the Montgomery Commission publish a summary of the Montgomery Commission's annual financial report in certain newspapers.,"The bill repeals certain requirements for the Housing Opportunities Commission of Montgomery County, including holding public hearings on assisted family housing proposals and publishing a summary of its annual financial report in newspapers. It also updates references and renumbers sections related to the Commission's financial reporting.",False,2024,2024,0.0,Housing Opportunities Commission of Montgomery County,"Residents of Montgomery County, housing developers, and local government officials involved in housing and community development",The bill does not directly establish or fund programs that impact access to capital for small businesses or individuals.,1.0
2024 Regular Session,HB0426,Places of Public Accommodation - Motion Picture Houses - Captioning,"Requiring all motion picture houses to offer closed movie captioning for each screening of a motion picture, with a certain exception; and requiring, if a motion picture is produced and available to motion picture houses with open movie captioning, a place of public accommodation that controls, operates, owns, or leases a motion picture house with eight or more screens in the State to provide open movie captioning for at least two screenings for each motion picture it screens each week.","The bill requires motion picture houses in Maryland to offer closed captioning for each screening and to provide open captioning for at least some screenings each week, especially for movies with captioning available.",True,2024,2024,0.0,Maryland Department of Commerce or relevant state agency overseeing public accommodations and entertainment venues,People with hearing disabilities and the general public attending movie theaters in Maryland,The bill primarily focuses on captioning services in theaters and does not directly impact access to capital for small businesses.,1.0
2024 Regular Session,HB0428,Community Schools - Rental Assistance for Community School Families Program and Fund - Establishment,"Establishing the Rental Assistance for Community School Families Program to provide rental assistance to eligible student households; requiring the Department of Housing and Community Development, in consultation with the State Department of Education, to administer the Program; establishing the Rental Assistance for Community School Families Fund; authorizing the Governor to include an appropriation of $10,000,000 in the annual budget bill for the Fund; etc.","The bill establishes the Rental Assistance for Community School Families Program and Fund to provide rental assistance to eligible student households in community schools, and sets up the administrative structure and funding mechanisms for the program.",True,2024,2024,10000000.0,Department of Housing and Community Development in coordination with the Department of Education and the Governor’s Office for Children,Students and families in community schools who are at risk of homelessness or housing instability,"The program has a high potential to impact small business owners by providing direct rental and utility assistance, which can stabilize housing and community stability.",8.0
2024 Regular Session,HB0431,Department of Veterans Affairs - Renaming and Deputy Secretary of Military Family Policy and Programs,Renaming the Department of Veterans Affairs to be the Department of Veterans and Military Families; renaming the Secretary of Veterans Affairs to be the Secretary of Veterans and Military Families; requiring the Secretary to appoint a Deputy Secretary of Military Family Policy and Programs; and providing that the Department of Veterans and Military Families is the successor of the Department of Veterans Affairs.,"This bill renames the Maryland Department of Veterans Affairs to the Department of Veterans and Military Families, establishes a Deputy Secretary of Military Family Policy and Programs, and makes related administrative and legal updates.",False,2024,2024,0.0,Maryland Department of Veterans and Military Families,Veterans and military families in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0432,Courts and Judicial Proceedings and Criminal Procedure - Technical Corrections - References to Intellectual Disability,Replacing references to mental retardation with references to an intellectual disability in certain provisions of law.,"This bill updates Maryland law by replacing references to 'mental retardation' with 'intellectual disability' in various legal provisions related to courts, juvenile proceedings, and criminal law.",False,2024,2024,0.0,Maryland Department of Health and Maryland courts,Individuals with intellectual disabilities involved in legal or criminal proceedings in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0434,Persons Providing Lobbyist Compensation – Statement of Political Contributions – Exemption for Nonprofits,Exempting nonprofit organizations qualified under § 501(c)(3) of the Internal Revenue Code from the requirement for a person providing lobbyist compensation to file a statement of political contributions with the State Board of Elections.,"The bill exempts certain nonprofit organizations from the requirement to file statements of political contributions when providing lobbyist compensation, specifically those qualified under § 501(c)(3) of the Internal Revenue Code.",False,2024,2024,0.0,Maryland State Board of Elections,"Nonprofit organizations, political contributors, lobbyists, and the general public interested in political transparency",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0435,Child Support - Incarcerated Obligors,"Authorizing a court, if an obligor becomes incarcerated, to determine that a material change of circumstances warranting a modification of child support has occurred, provided that the party's ability to pay child support is sufficiently reduced due to the incarceration.","The bill modifies child support laws in Maryland to account for incarceration, including allowing courts to determine that incarceration constitutes a material change of circumstance warranting support modification, suspending arrearages during incarceration, and clarifying that incarcerated parents cannot be considered voluntarily impoverished for potential income calculations.",False,2024,2024,0.0,Maryland Department of Human Services or the court system,"Incarcerated parents, child support obligors, children, and families involved in child support cases in Maryland",The bill's provisions are focused on legal and administrative changes to child support enforcement and do not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0437,Maryland Zero Emission Electric Vehicle Infrastructure Council - Membership,"Codifying provisions relating to the Maryland Zero Emission Electric Vehicle Infrastructure Council; altering and clarifying the composition of the Council to include certain public and private sector members; requiring the Council to submit interim reports of its work to the Governor and the General Assembly on or before December 1, 2024, and December 1, 2025; and requiring the Council to submit a final report of its work and recommendations by June 30, 2026.","This bill establishes the Maryland Zero Emission Electric Vehicle Infrastructure Council to develop plans and policies for integrating zero emission electric vehicles into Maryland's transportation network, including infrastructure, incentives, and public awareness campaigns, with reports due in 2024 and 2026.",True,2024,2026,0.0,Maryland Department of Transportation with support from the Maryland Energy Administration and Maryland Public Service Commission,"Electric vehicle manufacturers, electric companies, government agencies, environmental groups, vehicle owners, and the general public in Maryland","The bill aims to promote electric vehicle adoption and infrastructure, which could enhance access to capital for related businesses and initiatives.",7.0
2024 Regular Session,HB0447,Income Tax Credit - Venison Donation,"Allowing an individual, subject to certain requirements and limitations, to claim a credit against the State income tax for certain qualified expenses if the individual harvests an antlerless deer and donates the deer meat to certain organizations; limiting the amount of credits an individual may claim to a maximum of $300; and requiring by January 31 each year each venison donation program that received certain donations to report certain information about each donor who intended to claim the credit to the Comptroller.","The bill establishes a state income tax credit of up to $75 for individuals who harvest an antlerless deer, process the meat for human consumption, and donate it to a nonprofit venison donation program. It also provides legal immunity for those donating food to nonprofit organizations and sets reporting requirements for donation programs.",True,2024,2029,0.0,Maryland State Department of Assessments and Taxation and Maryland Department of Natural Resources,"Deer hunters, nonprofit venison donation organizations, and the general public benefiting from donated venison",The program could increase access to capital for small businesses involved in processing and donating venison by incentivizing donations and processing activities.,7.0
2024 Regular Session,HB0449,Comprehensive Flood Management Grant Program - Funding for Underserved and Overburdened Communities,"Requiring at least 40% of funding provided under the comprehensive flood management grant program to be used for projects located in or directly benefiting underserved or overburdened communities; and authorizing the Governor to include in the annual State budget an appropriation of up to $20,000,000 for the comprehensive flood management grant program in fiscal year 2026 and each fiscal year thereafter.","The bill establishes a comprehensive flood management grant program in Maryland, requiring a portion of funding to benefit underserved or overburdened communities, and sets funding levels and regulations for the program.",True,2024,2026,20000000.0,Maryland Department of the Environment,"Residents and communities affected by flooding, especially underserved and overburdened communities in Maryland","The program provides grants for flood control, watershed management, and emergency work, which can improve infrastructure resilience and reduce flood-related damages, thereby potentially increasing access to capital for flood mitigation projects.",7.0
2024 Regular Session,HB0451,Tax Assistance for Low-Income Marylanders - Funding,"Requiring the Comptroller, beginning in fiscal year 2025, to distribute a certain amount of abandoned property funds to the Tax Clinics for Low-Income Marylanders Fund; requiring the Governor to include $800,000 in the annual budget for the CASH Campaign of Maryland to award grants for providing certain tax assistance through on-demand and mobile tax clinics; and requiring certain tax clinics to interact with the CASH campaign to ensure sufficient access to tax preparation services for low-income Maryland residents.","The bill allocates funds from abandoned property and other sources to support tax clinics for low-income Marylanders, including grants for mobile and on-demand tax clinics, and funding for the CASH Campaign to provide tax assistance and financial education.",True,2024,2025,10000000.0,"Maryland State Government, specifically the Comptroller and the Maryland Legal Services Corporation Fund","Low-income Maryland residents, including seniors, rural communities, and under-resourced populations","The bill enhances access to tax assistance and financial education, which can improve financial stability and access to capital for low-income individuals.",7.0
2024 Regular Session,HB0452,"Individual Tax Preparers - Code of Ethics, Notification of Actions, Enforcement, and Penalties (Stop Scam Tax Preparers Act)","Requiring the State Board of Individual Tax Preparers to publish on the Board's website a certain code of ethics and rules of professional conduct by January 1, 2026; requiring the Board to notify the Comptroller and the Field Enforcement Bureau of a violation within 5 business days after the Board determines that the violation has occurred; granting certain employees of the Bureau certain powers, duties, and responsibilities for enforcing laws pertaining to income tax preparation; etc.","The bill establishes a code of ethics and rules of professional conduct for individual tax preparers, requires the Maryland State Board of Individual Tax Preparers to publish these rules, enhances enforcement powers, and sets penalties for violations, including fines that support low-income tax clinics.",True,2024,0,0.0,Maryland State Board of Individual Tax Preparers and the Comptroller's Office,Individual tax preparers and low-income Maryland residents seeking tax assistance,"The bill's focus is on professional conduct, enforcement, and penalties for tax preparers, with indirect impact on access to capital for small businesses.",2.0
2024 Regular Session,HB0453,Income Tax – Technical Corrections,Repealing certain obsolete provisions of law concerning the distribution of income tax revenue; and correcting a certain erroneous cross-reference.,"This bill makes technical corrections to Maryland's income tax laws, including repealing obsolete provisions, correcting cross-references, and clarifying distribution of income tax revenue to municipalities and the General Fund. It also clarifies the eligibility for a tax credit related to revitalization projects.",False,2024,2024,0.0,Maryland Comptroller's Office,"Municipalities, individual taxpayers, nonprofit organizations, business entities involved in revitalization projects",The bill does not directly establish or fund programs that impact access to capital for small businesses.,1.0
2024 Regular Session,HB0454,Disclosure of Tax Information - Tax Compliance Activity and Binding Data Use Agreements,"Altering the definition of ""tax information"" for purposes of law governing the confidentiality and disclosure of tax information; authorizing, subject to certain limitations, the disclosure of certain tax information to certain tax compliance organizations and governmental entities to assist the Comptroller in tax compliance activity; requiring the Comptroller to require the party to whom the information is to be disclosed to enter into a written, binding agreement regarding the use and security of the tax information; etc.","The bill modifies the rules for disclosing tax information in Maryland, allowing certain tax information to be shared with tax compliance organizations and government entities to assist in tax compliance activities, under strict supervision and data use agreements.",True,2024,9999,0.0,Maryland Comptroller's Office,"Tax authorities, tax compliance organizations, government agencies, and taxpayers in Maryland","The bill's focus is on tax information sharing and compliance, not on direct financial support or capital access programs.",1.0
2024 Regular Session,HB0455,Comptroller - Electronic Tax and Fee Return Filing Requirements,"Requiring, for periods beginning after December 31, 2026, that returns for certain taxes and fees collected by the Comptroller be filed electronically, subject to certain exceptions; altering certain requirements for electronic filing of returns for certain taxes; prohibiting a certain tax return preparer or software company from charging a separate fee for the electronic filing of certain tax documents; and prohibiting a software company from selling different versions of the same tax software under certain circumstances.","The bill mandates that certain tax and fee returns collected by the Maryland Comptroller be filed electronically starting in 2026, and prohibits certain fees and software practices related to electronic filing. It also specifies the agencies responsible for implementing these electronic filing requirements.",True,2026,2030,0.0,Maryland Comptroller's Office,"Taxpayers, tax preparers, software companies, local governments, and businesses subject to the taxes and fees",The bill primarily focuses on electronic filing requirements and does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0457,Environment - Synthetic Turf - Disclosure and Study,"Requiring a producer or seller of synthetic turf to disclose to a customer typical maintenance practices and costs for removing, replacing, and disposing of synthetic turf; and requiring the Department of the Environment, in consultation with representatives of the industry, local environmental and community stakeholders, and synthetic turf producers, retailers, and users, to conduct a study on the synthetic turf industry in the State and report its findings to certain committees of the General Assembly by July 1, 2026.","This bill establishes a system for tracking the chain of custody of synthetic turf installed on sports and playing fields in Maryland, including reporting requirements for custodians, a study on synthetic turf industry practices, and disclosures for consumers.",True,2024,2026,0.0,Department of the Environment,"Synthetic turf industry, property owners, sports organizations, local governments, and consumers in Maryland","The bill primarily focuses on tracking, reporting, and studying synthetic turf, with some consumer disclosures, but does not directly create a program to improve access to capital for small businesses.",2.0
2024 Regular Session,HB0458,Criminal Procedure - Protection of Identity of Minor Victim,"Providing that a court or a party in a criminal or juvenile delinquency case may not disclose or allow inspection of an electronic or paper court filing to a nonparty to the case unless the court or the party disclosing or allowing inspection of the filing redacts all identifying information relating to a minor victim that appears in the filing, unless the court finds by clear and convincing evidence that there is good cause to order otherwise.","The bill requires that identifying information of minor victims in criminal or juvenile cases be redacted from court filings, with certain exceptions, to protect their privacy. It also authorizes the Maryland Supreme Court to adopt rules for filing unredacted copies under seal.",True,2024,0,0.0,Maryland Supreme Court and Maryland courts,"Minor victims in criminal and juvenile cases, courts, legal professionals",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0461,Health - State Advisory Council on Quality Care at the End of Life - Renaming,Renaming the State Advisory Council on Quality Care at the End of Life to be the State Advisory Council on Serious Illness Care.,"The bill renames the State Advisory Council on Quality Care at the End of Life to the State Advisory Council on Serious Illness Care, and updates related references and responsibilities.",False,2024,0,0.0,Department of Aging and the Office of the Attorney General,Individuals with serious or end-of-life illnesses and their families in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0464,Health Occupations – Practice Audiology – Definition,"Altering the definition of ""practice audiology"" for the purposes of certain provisions of law governing the licensure and regulation of audiologists to include certain procedures that do not require anesthesia.","The bill updates the legal definition of 'practice audiology' in Maryland, clarifying the scope of practice for audiologists and specifying what procedures and services they can perform.",False,2024,2024,0.0,Maryland State Department of Health,"Audiologists, individuals with hearing or vestibular conditions, and the general public seeking audiology services",The bill does not directly impact access to capital for small business owners; it mainly clarifies professional practice boundaries.,1.0
2024 Regular Session,HB0465,Workplace Fraud and Prevailing Wage - Violations - Civil Penalty and Referrals,"Increasing, from $5,000 to $10,000, the maximum civil penalty for the knowing failure of an employer to properly classify an individual as an employee; and requiring the Commissioner of Labor and Industry, on a showing by clear and convincing evidence that a violation has occurred,  to refer to the Comptroller, certain State's Attorneys, the U.S. Department of Justice, the U.S. Department of Labor, and the U.S. Department of the Treasury complaints that allege a violation of certain tax laws.","The bill increases civil penalties for employers who knowingly misclassify workers and violate prevailing wage laws, establishes referral procedures for violations to various authorities, and enhances enforcement measures.",True,2024,0,0.0,"Maryland Department of Labor and Department of Budget and Management, the Secretary of State, the Comptroller, the Maryland Insurance Administration, and other State agencies","Employers, employees, and contractors in Maryland, especially those involved in wage and classification violations",The bill's focus on penalties and enforcement does not directly impact small business access to capital.,1.0
2024 Regular Session,HB0468,Commission to Advance Lithium-Ion Battery Safety in Maryland,"Establishing the Commission to Advance Lithium-Ion Battery Safety in Maryland to study and make legislative, regulatory, programmatic, or other recommendations regarding certain best practices, standards, and guidelines; requiring the Commission to submit an interim progress report to the Legislative Policy Committee by December 1, 2024; and requiring the Commission to submit a final report of its findings and recommendations to the Governor and the General Assembly by December 1, 2025.","The bill establishes the Commission to Advance Lithium–Ion Battery Safety in Maryland, which will study and make recommendations on safety standards, best practices, and policies related to lithium-ion batteries, including fire prevention, recycling, and reuse.",True,2024,2025,0.0,Office of the State Fire Marshal,"Battery manufacturers, first responders, recycling facilities, utility companies, and the general public in Maryland",The bill does not directly address access to capital for small business owners.,1.0
2024 Regular Session,HB0471,Election Law - Postelection Procedures,"Altering the records and documents that a board of canvassers is required to investigate under certain circumstances; altering the responsibilities of the State Administrator, the State Board of Elections, and the Board of State Canvassers regarding the certification of election results; authorizing the members of the Board of State Canvassers to appoint certain designees to serve on the Board of State Canvassers; and altering the responsibilities of the Governor regarding election results.","The bill updates postelection procedures in Maryland, including investigation of errors, verification and certification of election results, appointment of designees to the Board of State Canvassers, and responsibilities of the Governor in certifying election outcomes.",False,2024,2024,0.0,Maryland State Board of Elections and the Governor's Office,"Voters, candidates, election officials, and political parties in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0472,Education - School Mapping Data Program - Established,Establishing the School Mapping Data Program in the Maryland Center for School Safety; providing that the purpose of the Program is to provide funds to local school systems to produce school mapping data for each public school and public charter school in the county to assist first responders in responding to emergencies at a school; authorizing the use of the Safe Schools Fund to provide funding to local school systems for the program; and requiring a certain custodian of records to deny inspection of school mapping data.,"The bill establishes the School Mapping Data Program to create standardized digital maps of public schools for emergency response, and allocates funds for school safety initiatives, including safety training, evaluations, and traffic safety improvements.",True,2024,2024,10000000.0,Maryland Center for School Safety and the Interagency Commission on School Construction,"Public school students, staff, local law enforcement, and emergency responders in Maryland",The program has a high potential to improve access to safety-related data and resources for small business owners involved in school safety and emergency services.,8.0
2024 Regular Session,HB0475,Education - Open-Source Phonics Matching Grant Program - Establishment (Open-Source Phonics Matching Grant Program Act),"Establishing the Open-Source Phonics Matching Grant Program within the State Department of Education to provide free, open-source phonics learning materials to be used by adults to tutor students; requiring the Department to periodically review the open-source phonics learning materials to ensure the materials are consistent with best practices in literacy education, including the science of reading; and requiring the Governor each fiscal year to include in the annual budget bill an appropriation of $150,000 to the Program.","The bill establishes the Open-Source Phonics Matching Grant Program within the Maryland Department of Education, providing funding and support to organizations that produce free, open-source phonics learning materials for adult tutors to use in literacy education.",True,2024,0,150000.0,Maryland Department of Education,Adult learners and literacy organizations in Maryland,The program has a high potential to impact access to educational resources for adult literacy tutors and learners.,8.0
2024 Regular Session,HB0476,Criminal Procedure - Forensic Genetic Genealogical DNA Analysis and Search - Applicability for Deceased and Missing Individuals,Providing that certain provisions of law regarding the use of a certain forensic genetic genealogical DNA analysis and search (FGGS) do not apply when the FGGS is conducted solely for the purpose of identifying an individual who is deceased or the subject of a certain missing person report and whose whereabouts are unknown.,The bill exempts certain forensic genetic genealogical DNA analysis and searches (FGGS) from legal restrictions when used solely to identify deceased individuals or those reported missing with unknown whereabouts.,False,2024,2024,0.0,Maryland law enforcement agencies and forensic laboratories,"Deceased individuals, missing persons, law enforcement agencies, and the general public",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0481,Natural Resources - Antlerless Deer Hunting Programs - Authorization,Authorizing a person to receive a raffle ticket for each antlerless deer hunted by the person during a certain raffle program that has as its objective the hunting of antlerless deer.,"The bill authorizes a person to receive a raffle ticket for each antlerless deer hunted during a specific raffle program held in January, which aims to promote the hunting of antlerless deer, provided the program has been held at least once between January 1, 2020, and January 30, 2024.",True,2024,2024,0.0,Maryland Department of Natural Resources,Deer hunters and wildlife management authorities in Maryland,"The program is a raffle-based incentive for hunting, which may indirectly influence hunting participation but does not directly impact access to capital for small businesses.",3.0
2024 Regular Session,HB0486,Residential Property Sales - Contract Disclosures - Superfund Sites,"Requiring the seller of residential real property located within 1 mile of a National Priorities List (NPL) Superfund site to provide the buyer with an addendum to the contract for the sale of the property that contains the identification of the Superfund site, the definition of an NPL Superfund site, web addresses for certain websites, and a notice that the buyer may void the contract of sale within 5 days after signing and dating the contract of sale.","The bill requires sellers of residential properties within 1 mile of a Superfund site in Maryland to include a disclosure addendum in the sale contract, informing buyers about the Superfund site and their rights to void the contract within 5 days.",False,2024,0,0.0,Maryland Department of the Environment or local environmental agencies,Homebuyers and sellers of residential properties near Superfund sites in Maryland,The bill does not directly impact access to capital for small business owners; it focuses on property disclosures.,1.0
2024 Regular Session,HB0490,Income Tax - Subtraction Modification for Donations to Diaper Banks and Other Charitable Entities - Sunset Extension,"Extending the termination date applicable to a subtraction under the Maryland income tax for certain donations to diaper banks and other charitable entities; and applying the Act to all taxable years beginning after December 31, 2020, but before January 1, 2027.","The bill extends the sunset date for the Maryland income tax subtraction modification for donations to diaper banks and other charitable entities, allowing taxpayers to subtract up to $1,000 of donations to qualified organizations for a longer period.",False,2021,2027,0.0,Maryland Comptroller's Office,Taxpayers making donations to diaper banks and charitable organizations in Maryland,"The bill potentially increases the impact of donations to charitable organizations, which could improve access to hygiene products for those in need, but does not directly impact small business access to capital.",3.0
2024 Regular Session,HB0495,Education - Baltimore County School Board Nominating Commission - Publishing and Meetings Requirements,Requiring the Baltimore County School Board Nominating Commission to publish the names of the candidates for appointment to the Baltimore County Board of Education on the Commission's website before interviewing the candidates; requiring meetings of the Commission that involve action on a candidate for appointment to the county board to be public; and requiring certain meetings of the Commission to be held without the public in attendance and recorded and for the recording to be provided within 48 hours of receiving a request for the recording.,"The bill requires the Baltimore County School Board Nominating Commission to publish candidate names, hold public meetings, and record certain meetings related to selecting nominees for the Baltimore County Board of Education. It also makes application and record requests public and mandates transparency in the nomination process.",True,2024,2024,0.0,Baltimore County School Board Nominating Commission,"Candidates for Baltimore County Board of Education, residents of Baltimore County, and the general public interested in school board appointments.","The bill primarily focuses on transparency and public access to records and meetings, and does not directly impact access to capital for small business owners.",1.0
2024 Regular Session,HB0496,Criminal Law - Sexual Crimes - Definition of Consent and Repeal of Force,"Requiring certain facts to be considered when determining whether a lack of consent exists for the purposes of determining certain sexual crimes; altering the elements of second-degree rape to remove the requirement of use of force or threat of force; and requiring the Maryland Judiciary to report to the General Assembly, beginning October 1, 2024, and each October 1 thereafter, certain data for the preceding calendar year, disaggregated by county and offender age, race, and sex.","The bill updates Maryland's laws on sexual crimes by clarifying the definition of consent, considering specific factors when determining lack of consent, and revising the elements of second-degree rape. It also requires annual reporting of data related to sexual offense charges and convictions.",False,2024,2029,0.0,Maryland Judiciary,"Individuals involved in sexual crimes, law enforcement, legal system, and the general public",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0497,Hunting - Nonresident Sika Deer Stamp - Fee Alteration,Altering the fee for nonresident sika deer stamps from $25 to $200.,"The bill increases the fee for a nonresident sika deer hunting stamp from $100 to $200, effective July 1, 2024.",False,2024,2024,200.0,Maryland Department of Natural Resources,Nonresident hunters of sika deer in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0498,Real Property - Access to Counsel in Evictions Program - Mandated Reports,"Altering the information relating to the Access to Counsel in Evictions Program required to be reported by the Maryland Legal Services Corporation each year to include disaggregation by case type, the amount paid to attorneys for each case managed, the geographic distribution of cases, the disposition of cases decided, the amount of State and federal funds allocated to each designated organization, and the number of individuals provided legal representation for multiple cases.","The bill requires the Maryland Legal Services Corporation (MLSC) to annually report data on the Access to Counsel in Evictions Program, including the number of cases, case types, outcomes, funding, and geographic distribution, for a period starting October 1, 2024, and ending June 30, 2027.",True,2024,2027,0.0,Maryland Legal Services Corporation (MLSC),Tenants facing eviction and legal service providers in Maryland,The bill does not directly impact access to capital for small business owners; it focuses on legal services for tenants in eviction cases.,1.0
2024 Regular Session,HB0499,Health Occupations - Private Dental Offices - Infection Control,Requiring each owner of a private dental office to designate a licensed dentist to be the supervising dentist for the private dental office; requiring a supervising dentist to complete the registration required by the State Board of Dental Examiners and be responsible for all infection control activities within the private dental office; authorizing the Board to charge a fee for the registration of a supervising dentist under the Act; etc.,"The bill requires private dental office owners to designate a licensed dentist as the supervising dentist responsible for infection control activities, and establishes rules for registration, oversight, and interim supervision.",True,2024,0,0.0,Maryland State Board of Dental Examiners,"Private dental offices, licensed dentists, and patients in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0501,Charter Counties - Enforcement of Local Laws,"Increasing from $1,000 to $5,000 the maximum amount of a civil or criminal fine that may be imposed by a charter county to enforce certain local laws enacted by the county.","This bill increases the maximum civil and criminal fines that charter counties in Maryland can impose to enforce local laws, raising the limit from $1,000 to $5,000.",False,2024,2024,0.0,Charter counties in Maryland,Residents and businesses within charter counties in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0504,Department of Planning - Maryland Humanities Council - Appropriation to the Marilyn Hatza Memorial Strengthening the Humanities Investment in Nonprofits for Equity (SHINE) Grantmaking Initiative,"Authorizing the Governor to include in the annual budget bill an appropriation of $1,000,000 each year to the Department of Planning to be used as a grant to the Maryland Humanities Council for the Marilyn Hatza Memorial Strengthening Humanities Investment in Nonprofits for Equity (SHINE) Grantmaking Initiative; and requiring the Maryland Humanities Council to select, award, and report on grants to qualifying nonprofit organizations under the SHINE Grantmaking Initiative.","The bill authorizes the Maryland Governor to allocate $1,000,000 annually to the Maryland Humanities Council to fund the SHINE Grantmaking Initiative, which provides grants to small and mid-size nonprofit organizations in the humanities, arts, cultural, and educational sectors.",True,2024,2024,1000000.0,Maryland Department of Planning and Maryland Humanities Council,"Small and mid-size nonprofit organizations in the humanities, arts, cultural, and educational sectors in Maryland","The program provides direct grants to nonprofits, which can significantly improve their access to operational funding and support for humanities programs.",8.0
2024 Regular Session,HB0506,Sexual Harassment Prevention Training - Morgan State University and St. Mary's College of Maryland - Training Format,"Providing that a certain required sexual harassment prevention training for employees of Morgan State University and St. Mary's College of Maryland may consist of webinar, computer-based, or online training if the training includes a certain evaluative component.","The bill updates sexual harassment prevention training requirements for employees at Morgan State University and St. Mary's College of Maryland, allowing the training to be conducted via webinar, computer-based, or online formats, and specifies the inclusion of evaluative components.",False,2024,0,0.0,Maryland State Department of Education or relevant university administration,Employees of Morgan State University and St. Mary's College of Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0507,Allegany and Garrett Counties - Property Tax - Credit for Construction of Housing,"Authorizing the governing bodies of Allegany County and Garrett County and municipal corporations located in Allegany County and Garrett County to grant, by law, a property tax credit on certain newly constructed dwellings; prohibiting the tax credit from exceeding $10,000; and applying the Act to all taxable years beginning after June 30, 2024.","The bill authorizes property tax credits for newly constructed, unoccupied residential dwellings in Allegany and Garrett Counties that meet certain criteria, and establishes income tax credits for developers building middle-income homes in those counties.",True,2024,2028,0.0,Maryland Department of Housing and Community Development,"Homebuyers, developers, residents of Allegany and Garrett Counties","The bill provides financial incentives that could facilitate the construction and purchase of new homes, potentially improving access to housing and capital for developers and homebuyers.",7.0
2024 Regular Session,HB0508,Children - Labor Trafficking,"Altering the definition of ""abuse"" to include labor trafficking of a child by any individual for purposes of provisions of law governing children in need of assistance cases and child abuse and neglect reporting; expanding provisions of law relating to the Safe Harbor Regional Navigator Grant Program to apply to child victims of labor trafficking; and requiring the Department of Human Services to include labor trafficking in its annual report on child sex trafficking to the Governor and the General Assembly.","The bill expands Maryland's legal framework to include labor trafficking of children as a form of abuse, and establishes a grant program to support services for child victims of sex trafficking and labor trafficking, including trauma-informed care, legal services, and victim advocacy.",True,2024,2024,0.0,Maryland Department of Human Services and local departments of social services,Children who are victims of labor trafficking and sex trafficking in Maryland,"The bill primarily focuses on legal definitions, reporting, and victim services, and does not directly establish or fund programs that impact small business access to capital.",1.0
2024 Regular Session,HB0510,Business Facade Improvement Program - Eligible Funding Recipients,Expanding the eligible recipients of funding provided by the Department of Housing and Community Development under the Business Facade Improvement Program to include community development organizations that serve at least one sustainable community and apply for funds.,"The bill expands the Business Facade Improvement Program to include community development organizations as eligible recipients of funding, in addition to political subdivisions, to help improve the exterior appearance of buildings in sustainable communities.",True,2024,2024,5000000.0,Department of Housing and Community Development,"Businesses, community development organizations, and residents in sustainable communities in Maryland","The program provides direct grants to qualified businesses through community organizations, potentially increasing access to capital for small businesses in sustainable communities.",8.0
2024 Regular Session,HB0512,Natural Resources - Fish and Fisheries - Reporting Requirements,Requiring certain persons licensed or regulated with respect to fish and fisheries by the Department of Natural Resources to submit reports in accordance with regulations adopted by the Department.,"The bill requires persons licensed or regulated by the Maryland Department of Natural Resources for fish and fisheries to submit reports according to regulations adopted by the Department. It updates reporting requirements for fish dealers, licensees, and anglers, and mandates submission of reports for certain fishing activities.",True,2024,0,0.0,Maryland Department of Natural Resources,"Fishers, fish dealers, anglers, and related stakeholders in Maryland",The bill primarily focuses on reporting requirements and does not directly impact access to capital for small business owners.,1.0
