YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2023 Regular Session,HB0290,Public Health - Dental Services - Access,Altering the Maryland Dent-Care Program; establishing a requirement regarding the reimbursement of dental-related services under the Maryland Medical Assistance Program; establishing requirements on the Maryland Department of Health regarding the creation and distribution of plain language materials related to dental services; requiring the State Board of Dental Examiners to publish a searchable list of licensed providers who provide mobile dental services or portable dental services in the State; etc.,"The bill aims to improve access to dental services for children and underserved populations in Maryland by requiring dental screenings at certain ages, establishing the Maryland Dent–Care Program to support dental professionals serving Medicaid recipients, creating plain language dental information, and studying ways to increase dental provider participation and service delivery.",Maryland Department of Health and the Maryland State Board of Dental Examiners,"Children enrolled in Maryland public schools, children in child care, dental providers, Medicaid recipients, underserved Maryland residents, and pregnant women.","The bill includes provisions to support dental providers, including a grant or loan program for providers in underserved areas and incentives to increase participation, which could help reduce small business failure in the dental sector.",7.0
2023 Regular Session,HB0291,Health Occupations - Clinical and Graduate Alcohol and Drug Counselors - Licensure,Altering the educational requirements that individuals must meet to be licensed as clinical or graduate alcohol and drug counselors.,"The bill updates the educational and licensing requirements for clinical and graduate alcohol and drug counselors in Maryland, including provisions for licensure waivers and supervised practice.",Maryland State Board of Examiners of Alcohol and Drug Counselors,"Individuals seeking licensure as alcohol and drug counselors, including recent graduates and licensed professionals from other jurisdictions.","The bill may facilitate the licensing process for professionals, potentially reducing barriers for new counselors and supporting small counseling practices, but it does not explicitly target small business failure.",4.0
2023 Regular Session,HB0292,Child Care Providers - Registration and Licensing - Exemptions,"Exempting certain family child care homes, large family child care homes, and child care centers that serve only dependent children of military personnel and are located on a military base or federal property or are certified as a family child care provider by a branch of the U.S. Department of Defense or the Coast Guard from certain registration and licensing requirements; authorizing certain entities to assume responsibility for approving or determining which children may be served by exempted child care providers; etc.","The bill exempts certain family child care homes, large family child care homes, and child care centers serving only dependent children of military personnel on federal property or certified by the U.S. Department of Defense or Coast Guard from Maryland's registration and licensing requirements, and authorizes military and federal agencies to oversee these providers.","U.S. Department of Defense, U.S. Coast Guard, Maryland Department of Health, local health officers, county departments of education, Department of Human Services, and local departments.","Dependent children of military personnel, military families, child care providers on federal property, and the agencies overseeing child care.","The bill could reduce the regulatory burden on certain child care providers, potentially decreasing failure rates among these providers by simplifying licensing requirements.",7.0
2023 Regular Session,HB0297,Criminal Law - Victims of Child Sex Trafficking and Human Trafficking - Safe Harbor and Service Response,Altering procedures that a law enforcement officer and a court are required to follow when the law enforcement officer or court has reason to believe that a child who has been detained is a victim of sex trafficking or a victim of human trafficking; providing that a minor may not be criminally prosecuted or proceeded against under certain provisions of law for a certain offense if the minor committed the offense as a direct result of being a victim of sex trafficking or being a victim of human trafficking; etc.,"The bill updates Maryland laws to improve the response to child victims of sex trafficking and human trafficking. It establishes procedures for law enforcement and courts to identify victims, prevent their criminal prosecution for offenses committed as a result of trafficking, and ensure appropriate service responses.","Maryland Department of Human Services and the judiciary system, including law enforcement agencies and courts.",Children and minors who are victims of sex trafficking or human trafficking in Maryland.,"The bill does not directly address small business failure rates, but it may indirectly support victims who are small business owners or involved in small businesses by providing protections and services.",1.0
2023 Regular Session,HB0302,Public Health - Rare Disease Advisory Council,"Establishing the Rare Disease Advisory Council to study and make recommendations on matters relating to individuals with rare diseases in the State; requiring the Council to convene public hearings, make inquiries, and solicit comments from the public on the needs of rare disease patients, caregivers, and health care providers; requiring the Council to report to the Governor and General Assembly by December 1 each year beginning in 2024 and to provide recommendations on ways to address the needs of persons with rare diseases in the State; etc.","The bill establishes the Rare Disease Advisory Council in Maryland to study issues related to individuals with rare diseases and make policy recommendations to improve their care, access, and treatment.","The Maryland Department of Health, which shall provide staff for the council.","Individuals with rare diseases, their caregivers, healthcare providers, researchers, and related organizations in Maryland.","The bill aims to improve healthcare and support systems for rare disease patients, which could indirectly help small healthcare-related businesses, but it does not directly target small business failure.",3.0
2023 Regular Session,HB0309,State Employee Rights and Protections - Personnel Actions and Harassment - Complaints,"Authorizing an applicant for State employment or a State employee to file a complaint alleging harassment by an employer within 2 years after the alleged violation that is the basis of the complaint; and increasing, from 30 days to 1 year, the period of time for an applicant or employee to file a complaint alleging certain prohibited personnel actions.","The bill extends the time period for employees or applicants to file complaints about harassment or prohibited personnel actions, increasing the filing window from 30 days to 1 year for violations related to harassment, and clarifies procedures for filing complaints against harassment by employers.",State Department of Human Resources or equivalent state agency responsible for employee protections and workplace conduct.,State employees and applicants for employment within Maryland government agencies.,The bill primarily impacts state employment practices and does not directly relate to small business operations or failure rates.,1.0
2023 Regular Session,HB0316,Income Tax Checkoff - Maryland Veterans Trust Fund,Establishing a certain income tax checkoff for voluntary contributions to the Maryland Veterans Trust Fund; requiring the Comptroller to include certain information in each individual income tax return package; etc.,"The bill establishes a voluntary income tax checkoff for contributions to the Maryland Veterans Trust Fund, allowing taxpayers to donate part of their tax refund or owed amount to support veterans and their families.","The Comptroller of Maryland is responsible for implementing the program, including including the checkoff on tax forms and collecting contributions.","Veterans and their families in Maryland, as well as organizations supporting veterans.","The program is unlikely to have a significant direct impact on reducing small business failure rates, as it primarily involves individual contributions through tax filings.",2.0
2023 Regular Session,HB0319,Pesticides - PFAS Testing - Study,"Requiring the Department of Agriculture, in consultation with certain State and federal agencies, to study the use of perfluoroalkyl and polyfluoroalkyl substances (PFAS) in pesticides in the State; and requiring the Department to report its findings and recommendations to the Governor, the Senate Committee on Education, Energy, and the Environment, and the House Health and Government Operations Committee on or before November 1, 2023.","The bill prohibits the registration of pesticides for use against mosquitoes in Maryland unless the distributor submits PFAS test results and an affidavit verifying the results. It also requires a study on the use of PFAS in pesticides, including health and environmental impacts, testing methods, and regulatory efforts, with a report due by November 1, 2023.","Maryland Department of Agriculture, in consultation with the Department of the Environment, the Maryland Department of Health, and the U.S. Environmental Protection Agency.","Pesticide manufacturers, distributors, and users, as well as residents and the environment in Maryland.","The bill's requirements for PFAS testing and affidavits could increase compliance costs for small pesticide businesses, potentially impacting their failure rates.",4.0
2023 Regular Session,HB0320,Maryland Longitudinal Data System - Definition of Student Data - Alteration,"Altering the definition of ""student data"" for purposes of the Maryland Longitudinal Data System to include student disability data by specific disability category.",The bill amends the Maryland Longitudinal Data System to include student disability data categorized by specific disability types in the definition of 'student data'.,Maryland Longitudinal Data System Center,Students with disabilities and educational institutions in Maryland,This bill does not directly impact small businesses or their failure rates.,1.0
2023 Regular Session,HB0321,Cigarette Restitution Fund - Payments for Sale and Marketing of Electronic Smoking Devices - Use,"Requiring the Cigarette Restitution Fund to include a separate account consisting of payments received by the State from certain enforcement actions related to the sale and marketing of electronic smoking devices; and providing that distributions from the separate account may be used, consistent with any other State law, to supplement General Fund appropriations designated for certain programs with the purpose of reducing the use of tobacco products by individuals under 21 years of age.","The bill establishes a separate account within the Cigarette Restitution Fund to hold payments received from litigation related to the sale and marketing of electronic smoking devices. Funds from this account will be used to support programs aimed at reducing tobacco use among individuals under 21, including education, prevention, and enforcement efforts.",Maryland State Department of Health and other relevant state agencies involved in tobacco control and public health programs.,"Young individuals under the age of 21, public health organizations, tobacco control programs, and the general Maryland population.","The bill's focus is on funding tobacco prevention and control programs, not directly on small businesses, so its impact on small business failure rates is likely minimal.",2.0
2023 Regular Session,HB0322,Public Health - Home- and Community-Based Services for Children and Youth,"Requiring the Maryland Department of Health to expand access to and provide reimbursement for intensive in-home services, case management, and wraparound services; requiring, beginning in fiscal year 2024, the Behavioral Health Administration to fund 100 slots in the mental health case management program for children or youth at risk of out-of-home placement who are not eligible for program services; requiring the Governor to include funding in the annual budget bill for customized goods and services for certain youth; etc.","The bill requires the Maryland Department of Health to expand access to and reimburse for home- and community-based mental health services for children and youth, including wraparound, intensive in-home, and case management services. It also mandates funding, reporting, and stakeholder consultation to improve these services.",Maryland Department of Health,Children and youth with mental health needs and their families in Maryland,"The bill aims to improve mental health service delivery for children and youth, which may indirectly support small businesses involved in providing these services, but it does not explicitly target small business failure reduction.",4.0
2023 Regular Session,HB0323,Social Services Programs - Eligibility and Enrollment,"Requiring the Office of Home Energy Programs to enroll households, based on certain eligibility, in any fuel and utility assistance program; and altering the eligibility requirements for the electric universal service program to provide assistance to customers with annual incomes at or below 200% of the federal poverty level.","The bill updates eligibility and enrollment procedures for social services programs in Maryland, including the Supplemental Nutrition Assistance Program, the Office of Home Energy Programs, and the electric universal service program, to improve access and support for low-income and vulnerable populations.",Maryland Department of Human Services and the Office of Home Energy Programs,"Low-income individuals and families, elderly, households with children, and vulnerable populations in Maryland","The bill primarily targets social service programs for individuals and households, and does not directly impact small businesses or their failure rates.",1.0
2023 Regular Session,HB0325,Provision of Veterinary Services - Practice of Veterinary Medicine and Rabies Vaccines,"Authorizing the State Board of Veterinary Medical Examiners to issue a license to an animal control facility to administer rabies vaccines; requiring the Board to establish an expedited process to authorize a veterinary practitioner who holds a current, valid license to practice veterinary medicine in another state or jurisdiction to become licensed to practice veterinary medicine in the State; requiring the Secretary of Health to allow certain veterinary technicians or other clinical staff to administer rabies vaccines; etc.",The bill authorizes the Maryland State Board of Veterinary Medical Examiners to issue licenses to animal control facilities to administer rabies vaccines and allows certain veterinary practitioners licensed in other states to provide routine medical care in Maryland. It also establishes protocols for administering rabies vaccines by trained staff in veterinary hospitals and animal shelters.,Maryland State Board of Veterinary Medical Examiners and the Maryland Department of Health,"Veterinary practitioners, animal shelters, animal control facilities, and animals in Maryland","The bill aims to streamline licensing and operational procedures for veterinary services and animal shelters, potentially reducing barriers and costs, which could help small veterinary practices and shelters avoid failure.",7.0
2023 Regular Session,HB0328,State Finance and Procurement - Grants - Prompt Payment Requirement,Establishing invoicing and prompt payment requirements for certain State grants; requiring the State to make payment under certain grant agreements within 37 days of the payment becoming due under the agreement or after receiving a proper invoice; and authorizing interest accrual at the rate of 9% per year on any amount that is due and payable but remains unpaid after a certain time.,"This bill establishes invoicing and prompt payment requirements for certain state grants, including deadlines for payments and interest on late payments.",State grant-making entities and the Office of the Comptroller of Maryland,"Organizations receiving state grants, including nonprofits and other non-state entities","The bill's provisions for timely payments and interest on late payments aim to improve cash flow for grant recipients, potentially reducing financial stress and failure risk.",7.0
2023 Regular Session,HB0333,Hospitals - Financial Assistance - Medical Bill Reimbursement Process,"Establishing requirements related to the reimbursement of out-of-pocket costs paid by certain hospital patients who were eligible for free care, including requirements related to the consideration of data and the reporting and disclosure of certain information; authorizing the Commission to impose a fine of up to $50,000 per violation if a hospital fails to provide refunds to qualifying patients; making a violation of the Act an unfair, abusive, or deceptive trade practice subject to penalties under the Maryland Consumer Protection Act; etc.","The bill establishes a process for reimbursing hospital patients who paid out-of-pocket costs for services they may have qualified for free care, based on income and eligibility data. It also modifies how hospitals identify and reimburse these patients, and requires reporting and data sharing among state agencies.","The Maryland Health Services Cost Review Commission, in coordination with the Department of Health, the Department of Human Services, the Office of the Comptroller, the Department of Education, and the Maryland Hospital Association.","Hospital patients who paid out-of-pocket costs and may have been eligible for free care, hospitals, and state agencies involved in healthcare and social services.","The bill's focus is on healthcare reimbursement processes and data sharing, which are not directly related to small business failure reduction.",1.0
2023 Regular Session,HB0339,Maryland Lynching Truth and Reconciliation Commission - Reporting and Sunset Extension,"Extending the time for the submission of the final report of the Maryland Lynching Truth and Reconciliation Commission to December 1, 2025; and extending the termination date for the Commission to June 30, 2026.
","The bill extends the deadline for the Maryland Lynching Truth and Reconciliation Commission to submit its final report to December 1, 2025, and extends the commission's termination date to June 30, 2026.",Maryland Lynching Truth and Reconciliation Commission,"Maryland residents, historians, and communities affected by lynching history",This bill does not directly impact small business failure rates.,0.0
2023 Regular Session,HB0345,Montgomery County - Alcohol Beverage Services - Advisory Board MC 04-23,Altering the membership of the Advisory Board of the Alcohol Beverage Services of Montgomery County to include a designee of the Director of the Services and a designee of the Director of the Montgomery County Department of Police.,The bill amends the composition of the Advisory Board of the Alcohol Beverage Services of Montgomery County to include a designee of the Director of the Services and a designee of the Director of the Montgomery County Department of Police.,Montgomery County Alcohol Beverage Services and Montgomery County Department of Police,"Residents of Montgomery County, alcohol beverage service providers, law enforcement agencies, and local government officials.",The bill does not directly address small business failure or include programs aimed at reducing small business failure rates.,1.0
2023 Regular Session,HB0346,Tax Clinics for Low-Income Marylanders - Funding - Repeal of Sunset,"Repealing the termination date of certain provisions of law requiring the Comptroller to distribute a certain amount of certain abandoned property funds to the Tax Clinics for Low-Income Marylanders Fund which provides grants to the University of Maryland School of Law, the University of Baltimore School of Law, and the Maryland Volunteer Lawyers Service to operate tax clinics for low-income Maryland residents.","The bill extends funding for tax clinics for low-income Marylanders by repealing the sunset clause, ensuring continued financial support through the Tax Clinics for Low–Income Marylanders Fund, and clarifies the distribution of funds from abandoned property proceeds to support legal services and tax clinics.","The Comptroller of Maryland, in conjunction with the University of Maryland School of Law, the University of Baltimore School of Law, and the Maryland Volunteer Lawyers Service.",Low-income Maryland residents who benefit from free tax assistance and legal services.,"The bill's funding for tax clinics helps low-income individuals access tax and legal assistance, which can improve their financial stability and reduce the likelihood of business failure among small businesses owned by or serving these populations.",7.0
2023 Regular Session,HB0348,Baltimore County - School Board Nominating Commission - Vacancy Procedures,Requiring the Baltimore County School Board Nominating Commission to hold a public hearing on the selection of a nominee for a single vacancy on the Baltimore County Board of Education in a certain manner under certain circumstances; requiring the Commission to make publicly available on its website live video streaming of certain public hearings and certain archived video recordings; and authorizing the Commission to retain and reactivate the applications of certain candidates for certain vacancies on the county board.,"The bill requires the Baltimore County School Board Nominating Commission to hold public hearings, stream live video, and make recordings available online when selecting nominees for the Baltimore County Board of Education. It also details the composition, appointment process, and reactivation of candidate applications for the commission.",Baltimore County School Board Nominating Commission and Baltimore County Public Schools,"Residents of Baltimore County, including students, parents, educators, and community organizations involved in the school system.",The bill does not directly address small business failure; it focuses on school board nomination procedures.,1.0
2023 Regular Session,HB0366,Maryland School for the Blind - Public School Construction Program - Eligibility,Repealing the termination date on the eligibility of the Maryland School for the Blind for funding under the Public School Construction Program.,"The bill removes the previous deadline that limited funding eligibility for the Maryland School for the Blind under the Public School Construction Program, allowing it to continue receiving funding.",Interagency Commission on School Construction,"Students and staff at the Maryland School for the Blind, and the Maryland Department of Education","The bill does not directly impact small business failure rates, as it pertains to school construction funding for a specific school.",1.0
2023 Regular Session,HB0370,6888th Central Postal Directory Battalion Day,Requiring the Governor annually to proclaim March 9 as 6888th Central Postal Directory Battalion Day in recognition of the service of the women of the 6888th Central Postal Directory Battalion during World War II.,The bill requires the Governor of Maryland to annually proclaim March 9 as 6888th Central Postal Directory Battalion Day to honor the service of women in the battalion during World War II.,Governor of Maryland,"Members of the 6888th Central Postal Directory Battalion, Maryland residents, history and military communities",This bill does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0371,Recordation Tax - Indemnity Mortgage Exemption - Threshold Amount,"Altering the threshold amount for certain indemnity mortgage transactions that are exempt from the recordation tax from less than $3,000,000 to less than $12,500,000; and applying the Act to instruments of writing recorded on or after July 1, 2024.","The bill increases the threshold amount for indemnity mortgage transactions that are exempt from the Maryland recordation tax, allowing more transactions to qualify for exemption. It also authorizes local governments to grant exemptions for certain indemnity mortgages and requires reporting on these exemptions and their impact on revenue.","The Maryland State and local government agencies, specifically the Maryland Department of Assessments and Taxation and local county and Baltimore City officials responsible for recordation tax collection.","Mortgage lenders, property owners, and local governments involved in real estate transactions in Maryland.","The bill's increased exemption threshold may reduce costs for property transactions, potentially easing financial burdens on small businesses involved in real estate.",6.0
2023 Regular Session,HB0372,Higher Education – Veterans of the Afghanistan and Iraq Conflicts Scholarship – Altering Name of Scholarship,Altering the name of the Veterans of the Afghanistan and Iraq Conflicts Scholarship to be the Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship.,"The bill renames the existing Veterans of the Afghanistan and Iraq Conflicts Scholarship to the Douglas J. J. Peters Veterans of the Afghanistan and Iraq Conflicts Scholarship and establishes a dedicated fund for it, managed by the Maryland Higher Education Commission.",Maryland Higher Education Commission,Veterans of the Afghanistan and Iraq conflicts seeking higher education scholarships in Maryland,This bill does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0374,Health Insurance – Pharmacy Benefits Managers – Audits of Pharmacies and Pharmacists,"Requiring the Secretary of Health to adopt regulations for pharmacy benefits managers that contract with managed care organizations that establish requirements for conducting audits of pharmacies or pharmacists; establishing requirements and prohibitions regarding audits by certain pharmacy benefits managers, including provisions related to audit limits, acceptance of certain documents as proof, recoupment of funds or charging of fees for prescriptions of unbreakable package sizes, and access to financial documentation; etc.","The bill expands regulations and requirements for pharmacy benefits managers (PBMs) conducting audits of pharmacies and pharmacists, including registration of auditing entities, notification procedures, audit standards, and dispute resolution processes, to improve transparency and fairness.",Maryland Insurance Commissioner and the Secretary of Health,"Pharmacies, pharmacists, and consumers in Maryland who are affected by pharmacy audits and reimbursements.","The bill aims to improve the fairness and transparency of pharmacy audits, which could reduce unnecessary financial burdens on small pharmacies and pharmacists, potentially decreasing their failure rate.",7.0
2023 Regular Session,HB0376,Health Insurance - Diagnostic and Supplemental Examinations and Biopsies for Breast Cancer - Cost-Sharing,"Prohibiting, except under certain circumstances, insurers, nonprofit health service plans, and health maintenance organizations that provide coverage for diagnostic and supplemental breast examinations from imposing a copayment, coinsurance, or deductible requirement for the examination; and requiring the Maryland Health Care Commission to study and report to the Governor and certain committees of the General Assembly by October 1, 2023 on the financial impact of eliminating cost-sharing for diagnostic image-guided biopsies for breast cancer.","The bill prohibits health insurance providers in Maryland from charging copayments, coinsurance, or deductibles for diagnostic and supplemental breast examinations, including image-guided biopsies, with certain exceptions. It also requires a study on the financial impact of eliminating cost-sharing for biopsies.",Maryland Health Care Commission,"Individuals undergoing breast cancer screening and diagnosis, particularly those at increased risk, and health insurance providers in Maryland.","By reducing or eliminating cost-sharing for breast cancer diagnostic procedures, the bill may lower financial barriers for patients, potentially leading to earlier detection and treatment, which can improve health outcomes and reduce long-term costs.",7.0
2023 Regular Session,HB0377,Montgomery County - Village of Friendship Heights Special Taxing District - Procurement MC 15-23,"Increasing the threshold amount above which the Friendship Heights Village Council is prohibited from entering into a certain contract without a competitive bidding process; and authorizing the village council, by majority vote, to enter into a certain contract that exceeds the $20,000 threshold amount without a competitive bidding process if the procurement is in response to an emergency.","The bill increases the contract threshold for the Friendship Heights Village Council from $5,000 to $20,000 and allows the council to bypass competitive bidding in emergency situations.",Friendship Heights Village Council,Residents and businesses within the Village of Friendship Heights in Montgomery County,"The bill may streamline procurement processes, potentially reducing delays and administrative burdens for small businesses involved in village contracts.",6.0
2023 Regular Session,HB0379,Commissioner of Financial Regulation - Name and Organization of Office,Establishing the name of a certain office under the Commissioner of Financial Regulation in the Maryland Department of Labor as the Office of Financial Regulation; designating a certain appointee of the Commissioner of Financial Regulation as the Deputy Commissioner for Depository Activities; requiring the Commissioner of Financial Regulation to appoint a Deputy Commissioner for Non-Depository Activities; etc.,"The bill renames the Office of the Commissioner of Financial Regulation in the Maryland Department of Labor to the Office of Financial Regulation, establishes a Deputy Commissioner for Depository Activities and a Deputy Commissioner for Non-Depository Activities, and clarifies organizational and staffing provisions for the office.","Maryland Department of Labor, Office of Financial Regulation","Financial institutions, credit unions, check cashing service providers, and individuals involved in financial regulation in Maryland.","The bill's provisions for licensing, regulation, and oversight aim to strengthen financial stability and compliance, which can help reduce small business failures related to financial mismanagement or non-compliance.",6.0
2023 Regular Session,HB0382,Maryland Department of Health and Prescription Drug Affordability Board - Managed Care Organizations and Prescription Drug Claims - Study,"Requiring the Maryland Department of Health and the Prescription Drug Affordability Board jointly to study certain information regarding the payment of prescription drug claims under the Maryland Medical Assistance Program during calendar years 2021 and 2022 and how to address certain inconsistencies; and requiring the Department and the Board to report the findings of the study to the Maryland Medicaid Administration and certain committees of the General Assembly by October 31, 2023.","The bill requires the Maryland Department of Health and the Prescription Drug Affordability Board to study and address inconsistencies in how prescription drug claims are reimbursed under the Maryland Medical Assistance Program and managed care organizations, including analyzing payment amounts and recommending methodologies for determining drug costs and dispensing fees.",Maryland Department of Health and Prescription Drug Affordability Board,"Pharmacies, managed care organizations, prescription drug providers, and Medicaid recipients in Maryland","The bill aims to standardize reimbursement rates for pharmacies, which could reduce financial uncertainties and improve stability for small pharmacies, potentially decreasing their failure rate.",7.0
2023 Regular Session,HB0384,Institutions of Higher Education - Transcripts - Prohibition on Punitive Measures Related to Student Debt,Prohibiting an institution of higher education from refusing to provide a current or former student with a transcript or taking other punitive measures regarding a student's transcript request because the student owes a debt to the institution of higher education.,"The bill prohibits Maryland higher education institutions from refusing, delaying, or charging extra fees for transcripts or taking punitive actions against students who owe debts to the institution.",Institutions of Higher Education in Maryland,Current and former students of Maryland higher education institutions who may owe debts,"The bill does not directly impact small business failure rates, as it pertains to higher education transcript policies.",1.0
2023 Regular Session,HB0386,Natural Resources - Blue and Flathead Catfish Finfish Trotline License - Establishment,Establishing a licensing and regulatory scheme to allow the commercial fishing of blue and flathead catfish in the tidal waters of the State using a finfish trotline.,"The bill establishes a licensing program for the commercial fishing of blue and flathead catfish in Maryland's tidal waters using finfish trotlines, including setting the license fee and regulations.",Maryland Department of Natural Resources,Commercial fishers targeting blue and flathead catfish in Maryland's tidal waters,"The bill provides a low-cost, streamlined licensing process for commercial fishers, which could help reduce barriers to entry and support small fishing businesses.",4.0
2023 Regular Session,HB0388,Bond Sales - Notification of the Public,Authorizing the Board of Public Works and the State Treasurer to provide public notice of a public sale of State bonds by The Municipal Market Monitor (TM3) or a similar service or such other method deemed appropriate by the State Treasurer.,"The bill authorizes the Maryland Board of Public Works and the State Treasurer to provide public notice of State bond sales through a service or method deemed appropriate, such as the Municipal Market Monitor (TM3). It establishes requirements for advance notice and procedures for postponing bond sales.",Maryland State Treasurer and the Board of Public Works,"Investors, financial institutions, and the general public interested in Maryland State bond sales",The bill does not directly address small businesses or their failure rates; it focuses on public notification procedures for State bond sales.,1.0
2023 Regular Session,HB0389,Department of Agriculture - State Specialist for Value-Added Agriculture,"Establishing the State Specialist for Value-Added Agriculture as a position in the Department of Agriculture to serve as the primary point of contact for individuals engaging in, or interested in engaging in, value-added agriculture in the State; and requiring the Specialist to provide information regarding State and federal regulations related to value-added agriculture and to act as a liaison between State and federal partners involved in value-added agriculture.","The bill establishes the position of the State Specialist for Value–Added Agriculture within the Maryland Department of Agriculture. This role serves as a primary contact and liaison for individuals involved in value-added agriculture, providing information on regulations and supporting the development of this sector.",Maryland Department of Agriculture,"Farmers, producers, processors, and businesses involved in value-added agriculture in Maryland.","The program aims to support value-added agricultural businesses by providing guidance and acting as a liaison, which could help reduce business failures in this sector.",7.0
2023 Regular Session,HB0391,Vehicle Laws - Parking Enforcement - Citations,"Requiring a parking citation issued by a political subdivision, a State agency, or a third-party contractor to include a box that the person issued the citation may check to indicate that the registration plates cited were not issued for the vehicle described in the citation; requiring a political subdivision, State agency, or third-party contractor that receives a parking citation from a person with the box checked to perform a certain verification process and dismiss the citation under certain circumstances; etc.","The bill requires parking citations issued by Maryland authorities or contractors to include a checkbox allowing the recipient to indicate that the cited registration plates do not belong to the vehicle. If checked, the issuing agency must verify the claim and potentially dismiss the citation.","Maryland State agencies, political subdivisions, or third-party contractors involved in parking enforcement.",Vehicle owners and drivers in Maryland who receive parking citations.,"The bill aims to reduce unnecessary citations and related disputes, which could lower administrative burdens and costs for enforcement agencies and vehicle owners, potentially reducing small business failures related to parking enforcement issues.",6.0
2023 Regular Session,HB0394,Maryland Tort Claims Act - Denial of Claims - Notice,"Altering the means by which the State Treasurer may send notice of a denial of a claim made under the Maryland Tort Claims Act to authorize notice by e-mail or, if it is the only available means, by regular mail.","The bill amends the Maryland Tort Claims Act to allow the State Treasurer to send notice of claim denial via email or, if email is unavailable, by regular mail, instead of certified mail.",Maryland State Treasurer's Office,"Claimants under the Maryland Tort Claims Act, including individuals and entities filing claims against the state",The bill primarily affects claim notification procedures and does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0395,State Government - State Facilities Changes and Closures - Procedures,"Requiring a principal department of the Executive Branch to give certain notice to the public, the General Assembly, and any exclusive representative with certain bargaining unit employees, hold a public hearing, submit a certain report, make the report publicly available, and allow the submission of certain comments before changing the use, purpose, or function of a State facility or closing a State facility.","The bill establishes procedures that a principal department of the Maryland State government must follow before changing the use, purpose, or function of a State facility or closing a State facility, including public hearings and notices.",Principal departments of the Maryland State government,"State employees, clients, inmates, residents, and the general public affected by State facility changes or closures",The bill does not directly address small businesses or their failure rates.,0.0
2023 Regular Session,HB0397,State Investment Portfolio - Investment Thresholds - Alterations,Repealing the limitations on investment in certain commercial paper in which the Treasurer may invest or reinvest certain unexpended or surplus funds; requiring the Treasurer to adopt regulations to establish a State investment policy with certain thresholds; and requiring the Treasurer to notify certain officials and governing bodies of certain local governmental units about the provisions of the Act.,"The bill revises Maryland's investment policies by removing previous limitations on investments in certain commercial paper, establishing new investment thresholds through regulations, and requiring the Treasurer to notify local governments about these changes.",Maryland State Treasurer's Office,"State government entities, local government units, and taxpayers in Maryland",The bill's focus on investment policies and thresholds is unlikely to have a direct impact on small business failure rates.,1.0
2023 Regular Session,HB0401,"Maryland Audiology, Hearing Aid Dispensing, Speech-Language Pathology, and Music Therapy Act - Definitions and Application","Altering the definition of ""hearing aid dispensary"" to include certain actions taken for the purpose of ordering certain hearing instruments and specifying that certain hearing instruments include prescription hearing aids; altering the definition of ""practice audiology"" for the purposes of certain provisions of law governing the licensure of audiologists; and providing that certain provisions of law do not apply to certain actions taken with respect to certain over-the-counter hearing aids.","The bill updates the definitions and scope of practice for audiology and hearing aid dispensing in Maryland, including clarifying that certain actions related to ordering and fitting hearing aids, including prescription hearing aids, are part of the practice. It also specifies that over-the-counter hearing aids are not subject to licensing requirements.","Maryland State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists","Audiologists, hearing aid dispensers, individuals with hearing loss, and consumers of over-the-counter hearing aids in Maryland","The bill potentially reduces barriers for over-the-counter hearing aid sales, which could help small businesses by expanding market opportunities and reducing licensing burdens for certain hearing aid transactions.",7.0
2023 Regular Session,HB0402,Kent County - Board of Education - Student Member,Altering the membership of the Kent County Board of Education to include a student member; providing for the initial term of the student member of the county board; requiring the student member to attend the Maryland Association of Boards of Education new student board orientation and all regular meetings of the county board; prohibiting the student member's attendance at an executive session of the county board; etc.,"The bill amends the membership structure of the Kent County Board of Education to include a nonvoting student member, elected by high school students, who will serve a one-year term starting July 1, 2024.",Kent County Board of Education and Kent County Public Schools,High school students in Kent County and the Kent County Board of Education,"The bill does not directly impact small business failure rates, as it focuses on educational governance and student representation.",1.0
2023 Regular Session,HB0404,Property Tax - Local Homeowners' Credit Supplement - Limitation on Combined Gross Income,"Authorizing counties and municipal corporations to alter a certain limitation on the combined gross income of a homeowner for purposes of a local supplement to the homeowners' property tax credit; and applying the Act to all taxable years beginning after June 30, 2023.","The bill authorizes local governments in Maryland to grant property tax credits to homeowners with incomes exceeding $60,000 who have suffered hardships, and allows for the creation of local supplements to the existing homeowners' property tax credit program with flexible eligibility criteria.","The Department of Assessments and Taxation, local governments (counties, Baltimore City, municipal corporations)","Homeowners in Maryland, particularly those with incomes over $60,000 who have experienced hardships",The bill primarily impacts homeowners and local government programs; it does not directly address small business failure rates.,1.0
